C: 0.6,  Sigma: 0.5, TP:30.0, FP:10.0, TN:10.0, FN:0.0, Precesion: 0.75, Recall: 1.0, Accuracy: 0.8, Eidx_Training: 148.59047, Eidx_CV: 29.43688 
C: 0.6,  Sigma: 0.3, TP:29.0, FP:5.0, TN:15.0, FN:1.0, Precesion: 0.85, Recall: 0.97, Accuracy: 0.88, Eidx_Training: 111.34167, Eidx_CV: 23.20674 
C: 0.6,  Sigma: 0.1, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 101.67036, Eidx_CV: 23.87055 
C: 0.6,  Sigma: 0.8, TP:27.0, FP:10.0, TN:10.0, FN:3.0, Precesion: 0.73, Recall: 0.9, Accuracy: 0.74, Eidx_Training: 151.12257, Eidx_CV: 31.34031 
C: 0.6,  Sigma: 2.0, TP:27.0, FP:16.0, TN:4.0, FN:3.0, Precesion: 0.63, Recall: 0.9, Accuracy: 0.62, Eidx_Training: 199.28024, Eidx_CV: 39.6277 
C: 0.6,  Sigma: 1.0, TP:26.0, FP:10.0, TN:10.0, FN:4.0, Precesion: 0.72, Recall: 0.87, Accuracy: 0.72, Eidx_Training: 166.99423, Eidx_CV: 34.8584 
C: 0.6,  Sigma: 1.5, TP:23.0, FP:10.0, TN:10.0, FN:7.0, Precesion: 0.7, Recall: 0.77, Accuracy: 0.66, Eidx_Training: 183.99285, Eidx_CV: 38.10679 
C: 0.6,  Sigma: 0.08, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 106.23756, Eidx_CV: 24.89092 
C: 0.6,  Sigma: 0.06, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 99.0388, Eidx_CV: 23.42039 
C: 0.6,  Sigma: 0.05, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 98.16525, Eidx_CV: 24.69037 
C: 0.6,  Sigma: 0.04, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 88.49481, Eidx_CV: 25.61303 
C: 0.7,  Sigma: 0.04, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 58.79243, Eidx_CV: 21.51354 
C: 0.7,  Sigma: 0.3, TP:30.0, FP:6.0, TN:14.0, FN:0.0, Precesion: 0.83, Recall: 1.0, Accuracy: 0.88, Eidx_Training: 132.94385, Eidx_CV: 27.50098 
C: 0.7,  Sigma: 0.1, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 58.5762, Eidx_CV: 19.16767 
C: 0.7,  Sigma: 0.08, TP:26.0, FP:1.0, TN:19.0, FN:4.0, Precesion: 0.96, Recall: 0.87, Accuracy: 0.9, Eidx_Training: 69.57062, Eidx_CV: 20.87895 
C: 0.7,  Sigma: 0.8, TP:28.0, FP:10.0, TN:10.0, FN:2.0, Precesion: 0.74, Recall: 0.93, Accuracy: 0.76, Eidx_Training: 176.57282, Eidx_CV: 32.68579 
C: 0.7,  Sigma: 0.5, TP:29.0, FP:6.0, TN:14.0, FN:1.0, Precesion: 0.83, Recall: 0.97, Accuracy: 0.86, Eidx_Training: 119.51764, Eidx_CV: 24.23606 
C: 0.7,  Sigma: 2.0, TP:27.0, FP:14.0, TN:6.0, FN:3.0, Precesion: 0.66, Recall: 0.9, Accuracy: 0.66, Eidx_Training: 240.89453, Eidx_CV: 49.60089 
C: 0.7,  Sigma: 1.0, TP:28.0, FP:11.0, TN:9.0, FN:2.0, Precesion: 0.72, Recall: 0.93, Accuracy: 0.74, Eidx_Training: 167.40943, Eidx_CV: 33.3394 
C: 0.7,  Sigma: 1.5, TP:25.0, FP:10.0, TN:10.0, FN:5.0, Precesion: 0.71, Recall: 0.83, Accuracy: 0.7, Eidx_Training: 185.47318, Eidx_CV: 37.39677 
C: 0.7,  Sigma: 0.06, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 110.43862, Eidx_CV: 25.56526 
C: 0.7,  Sigma: 0.05, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 59.47055, Eidx_CV: 19.76783 
C: 0.8,  Sigma: 0.05, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 87.57667, Eidx_CV: 17.57429 
