C: 0.7,  Sigma: 0.05, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 73.01915, Eidx_CV: 20.23134 
C: 0.7,  Sigma: 0.1, TP:22.0, FP:5.0, TN:23.0, FN:0.0, Precesion: 0.81, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 66.0973, Eidx_CV: 20.91977 
C: 0.7,  Sigma: 0.06, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 69.59277, Eidx_CV: 19.57738 
C: 0.8,  Sigma: 0.05, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 178.98376, Eidx_CV: 39.25778 
C: 0.8,  Sigma: 0.1, TP:22.0, FP:7.0, TN:21.0, FN:0.0, Precesion: 0.76, Recall: 1.0, Accuracy: 0.86, Eidx_Training: 122.11067, Eidx_CV: 32.04495 
C: 0.6,  Sigma: 0.1, TP:22.0, FP:6.0, TN:22.0, FN:0.0, Precesion: 0.79, Recall: 1.0, Accuracy: 0.88, Eidx_Training: 105.1648, Eidx_CV: 28.26833 
C: 0.8,  Sigma: 0.06, TP:22.0, FP:6.0, TN:22.0, FN:0.0, Precesion: 0.79, Recall: 1.0, Accuracy: 0.88, Eidx_Training: 136.06534, Eidx_CV: 33.55474 
C: 0.6,  Sigma: 0.06, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 98.7039, Eidx_CV: 28.27647 
C: 0.6,  Sigma: 0.05, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 98.77286, Eidx_CV: 28.31873 
C: 0.6,  Sigma: 0.04, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 93.43702, Eidx_CV: 26.48062 
C: 0.7,  Sigma: 0.04, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 52.72737, Eidx_CV: 28.17757 
C: 0.8,  Sigma: 0.04, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 55.8645, Eidx_CV: 28.36731 
C: 1.0,  Sigma: 0.06, TP:22.0, FP:8.0, TN:20.0, FN:0.0, Precesion: 0.73, Recall: 1.0, Accuracy: 0.84, Eidx_Training: 228.27107, Eidx_CV: 47.3441 
C: 1.0,  Sigma: 0.05, TP:22.0, FP:6.0, TN:22.0, FN:0.0, Precesion: 0.79, Recall: 1.0, Accuracy: 0.88, Eidx_Training: 204.87286, Eidx_CV: 43.14953 
C: 1.3,  Sigma: 0.05, TP:22.0, FP:13.0, TN:15.0, FN:0.0, Precesion: 0.63, Recall: 1.0, Accuracy: 0.74, Eidx_Training: 246.86207, Eidx_CV: 50.61936 
C: 1.5,  Sigma: 0.05, TP:22.0, FP:17.0, TN:11.0, FN:0.0, Precesion: 0.56, Recall: 1.0, Accuracy: 0.66, Eidx_Training: 247.23932, Eidx_CV: 50.67132 
C: 1.3,  Sigma: 0.04, TP:22.0, FP:13.0, TN:15.0, FN:0.0, Precesion: 0.63, Recall: 1.0, Accuracy: 0.74, Eidx_Training: 246.94144, Eidx_CV: 50.58202 
C: 1.5,  Sigma: 0.06, TP:22.0, FP:15.0, TN:13.0, FN:0.0, Precesion: 0.59, Recall: 1.0, Accuracy: 0.7, Eidx_Training: 246.89906, Eidx_CV: 50.66872 
C: 1.5,  Sigma: 0.04, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 210.00365, Eidx_CV: 43.70969 
C: 1.3,  Sigma: 0.1, TP:22.0, FP:6.0, TN:22.0, FN:0.0, Precesion: 0.79, Recall: 1.0, Accuracy: 0.88, Eidx_Training: 164.87707, Eidx_CV: 37.34109 
C: 1.3,  Sigma: 0.06, TP:22.0, FP:5.0, TN:23.0, FN:0.0, Precesion: 0.81, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 210.4788, Eidx_CV: 44.04537 
C: 1.0,  Sigma: 0.1, TP:22.0, FP:8.0, TN:20.0, FN:0.0, Precesion: 0.73, Recall: 1.0, Accuracy: 0.84, Eidx_Training: 196.93361, Eidx_CV: 43.81397 
C: 1.5,  Sigma: 0.1, TP:22.0, FP:6.0, TN:22.0, FN:0.0, Precesion: 0.79, Recall: 1.0, Accuracy: 0.88, Eidx_Training: 207.32349, Eidx_CV: 44.3707 
C: 1.0,  Sigma: 0.04, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 173.46498, Eidx_CV: 43.11005 
C: 2.0,  Sigma: 0.06, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 210.65899, Eidx_CV: 43.95062 
C: 3.0,  Sigma: 0.06, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 210.65899, Eidx_CV: 43.95062 
C: 1.8,  Sigma: 0.06, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 210.65899, Eidx_CV: 43.95062 
C: 2.0,  Sigma: 0.05, TP:22.0, FP:17.0, TN:11.0, FN:0.0, Precesion: 0.56, Recall: 1.0, Accuracy: 0.66, Eidx_Training: 247.23932, Eidx_CV: 50.67132 
C: 2.0,  Sigma: 0.04, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 210.00365, Eidx_CV: 43.70969 
C: 3.0,  Sigma: 0.04, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 210.00365, Eidx_CV: 43.70969 
C: 3.0,  Sigma: 0.05, TP:22.0, FP:17.0, TN:11.0, FN:0.0, Precesion: 0.56, Recall: 1.0, Accuracy: 0.66, Eidx_Training: 247.23932, Eidx_CV: 50.67132 
C: 1.8,  Sigma: 0.05, TP:22.0, FP:17.0, TN:11.0, FN:0.0, Precesion: 0.56, Recall: 1.0, Accuracy: 0.66, Eidx_Training: 247.23932, Eidx_CV: 50.67132 
C: 3.0,  Sigma: 0.1, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 222.92889, Eidx_CV: 46.41267 
C: 1.8,  Sigma: 0.04, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 210.00365, Eidx_CV: 43.70969 
C: 1.8,  Sigma: 0.1, TP:22.0, FP:6.0, TN:22.0, FN:0.0, Precesion: 0.79, Recall: 1.0, Accuracy: 0.88, Eidx_Training: 237.38499, Eidx_CV: 49.64415 
C: 2.0,  Sigma: 0.1, TP:22.0, FP:15.0, TN:13.0, FN:0.0, Precesion: 0.59, Recall: 1.0, Accuracy: 0.7, Eidx_Training: 247.9052, Eidx_CV: 51.70032 
C: 4.0,  Sigma: 0.06, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 210.65899, Eidx_CV: 43.95062 
C: 4.0,  Sigma: 0.05, TP:22.0, FP:17.0, TN:11.0, FN:0.0, Precesion: 0.56, Recall: 1.0, Accuracy: 0.66, Eidx_Training: 247.23932, Eidx_CV: 50.67132 
C: 4.0,  Sigma: 0.04, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 210.00365, Eidx_CV: 43.70969 
C: 4.0,  Sigma: 0.1, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 199.9858, Eidx_CV: 42.48495 
