C: 0.7,  Sigma: 0.05, TP:19.0, FP:6.0, TN:24.0, FN:1.0, Precesion: 0.76, Recall: 0.95, Accuracy: 0.86, Eidx_Training: 71.4846, Eidx_CV: 23.32536 
C: 0.7,  Sigma: 0.04, TP:20.0, FP:8.0, TN:22.0, FN:0.0, Precesion: 0.71, Recall: 1.0, Accuracy: 0.84, Eidx_Training: 122.70077, Eidx_CV: 35.08677 
C: 0.7,  Sigma: 0.06, TP:19.0, FP:6.0, TN:24.0, FN:1.0, Precesion: 0.76, Recall: 0.95, Accuracy: 0.86, Eidx_Training: 70.6986, Eidx_CV: 24.88177 
C: 0.6,  Sigma: 0.1, TP:19.0, FP:7.0, TN:23.0, FN:1.0, Precesion: 0.73, Recall: 0.95, Accuracy: 0.84, Eidx_Training: 104.38836, Eidx_CV: 30.78533 
C: 0.6,  Sigma: 0.06, TP:16.0, FP:0.0, TN:30.0, FN:4.0, Precesion: 1.0, Recall: 0.8, Accuracy: 0.92, Eidx_Training: 132.60402, Eidx_CV: 25.39898 
C: 0.6,  Sigma: 0.05, TP:16.0, FP:1.0, TN:29.0, FN:4.0, Precesion: 0.94, Recall: 0.8, Accuracy: 0.9, Eidx_Training: 126.34259, Eidx_CV: 26.12049 
C: 0.6,  Sigma: 0.04, TP:20.0, FP:8.0, TN:22.0, FN:0.0, Precesion: 0.71, Recall: 1.0, Accuracy: 0.84, Eidx_Training: 115.16049, Eidx_CV: 36.21907 
C: 0.8,  Sigma: 0.05, TP:19.0, FP:6.0, TN:24.0, FN:1.0, Precesion: 0.76, Recall: 0.95, Accuracy: 0.86, Eidx_Training: 48.16486, Eidx_CV: 21.20904 
C: 0.8,  Sigma: 0.04, TP:19.0, FP:6.0, TN:24.0, FN:1.0, Precesion: 0.76, Recall: 0.95, Accuracy: 0.86, Eidx_Training: 45.77504, Eidx_CV: 18.86305 
C: 0.8,  Sigma: 0.1, TP:19.0, FP:11.0, TN:19.0, FN:1.0, Precesion: 0.63, Recall: 0.95, Accuracy: 0.76, Eidx_Training: 142.62166, Eidx_CV: 37.75318 
C: 0.7,  Sigma: 0.1, TP:18.0, FP:6.0, TN:24.0, FN:2.0, Precesion: 0.75, Recall: 0.9, Accuracy: 0.84, Eidx_Training: 73.00393, Eidx_CV: 23.91782 
C: 0.8,  Sigma: 0.06, TP:20.0, FP:11.0, TN:19.0, FN:0.0, Precesion: 0.65, Recall: 1.0, Accuracy: 0.78, Eidx_Training: 185.06536, Eidx_CV: 44.86515 
C: 1.0,  Sigma: 0.04, TP:16.0, FP:1.0, TN:29.0, FN:4.0, Precesion: 0.94, Recall: 0.8, Accuracy: 0.9, Eidx_Training: 4.27663, Eidx_CV: 12.1495 
C: 1.0,  Sigma: 0.05, TP:20.0, FP:12.0, TN:18.0, FN:0.0, Precesion: 0.63, Recall: 1.0, Accuracy: 0.76, Eidx_Training: 239.50891, Eidx_CV: 53.29378 
C: 1.0,  Sigma: 0.1, TP:20.0, FP:11.0, TN:19.0, FN:0.0, Precesion: 0.65, Recall: 1.0, Accuracy: 0.78, Eidx_Training: 218.32663, Eidx_CV: 50.83835 
C: 1.5,  Sigma: 0.04, TP:20.0, FP:8.0, TN:22.0, FN:0.0, Precesion: 0.71, Recall: 1.0, Accuracy: 0.84, Eidx_Training: 170.71956, Eidx_CV: 40.91941 
C: 1.0,  Sigma: 0.06, TP:20.0, FP:12.0, TN:18.0, FN:0.0, Precesion: 0.63, Recall: 1.0, Accuracy: 0.76, Eidx_Training: 230.79277, Eidx_CV: 52.05996 
C: 1.3,  Sigma: 0.06, TP:20.0, FP:11.0, TN:19.0, FN:0.0, Precesion: 0.65, Recall: 1.0, Accuracy: 0.78, Eidx_Training: 235.30987, Eidx_CV: 52.32293 
C: 1.3,  Sigma: 0.04, TP:20.0, FP:14.0, TN:16.0, FN:0.0, Precesion: 0.59, Recall: 1.0, Accuracy: 0.72, Eidx_Training: 245.41342, Eidx_CV: 53.67976 
C: 1.3,  Sigma: 0.05, TP:20.0, FP:8.0, TN:22.0, FN:0.0, Precesion: 0.71, Recall: 1.0, Accuracy: 0.84, Eidx_Training: 238.99123, Eidx_CV: 52.63914 
C: 1.3,  Sigma: 0.1, TP:20.0, FP:11.0, TN:19.0, FN:0.0, Precesion: 0.65, Recall: 1.0, Accuracy: 0.78, Eidx_Training: 238.61622, Eidx_CV: 53.7618 
C: 1.8,  Sigma: 0.05, TP:20.0, FP:30.0, TN:0.0, FN:0.0, Precesion: 0.4, Recall: 1.0, Accuracy: 0.4, Eidx_Training: 368.31711, Eidx_CV: 77.87554 
C: 1.8,  Sigma: 0.06, TP:20.0, FP:15.0, TN:15.0, FN:0.0, Precesion: 0.57, Recall: 1.0, Accuracy: 0.7, Eidx_Training: 245.1903, Eidx_CV: 53.72778 
C: 1.8,  Sigma: 0.04, TP:20.0, FP:24.0, TN:6.0, FN:0.0, Precesion: 0.45, Recall: 1.0, Accuracy: 0.52, Eidx_Training: 245.71666, Eidx_CV: 53.78214 
C: 1.5,  Sigma: 0.06, TP:20.0, FP:8.0, TN:22.0, FN:0.0, Precesion: 0.71, Recall: 1.0, Accuracy: 0.84, Eidx_Training: 204.33249, Eidx_CV: 46.81741 
C: 1.5,  Sigma: 0.1, TP:19.0, FP:8.0, TN:22.0, FN:1.0, Precesion: 0.7, Recall: 0.95, Accuracy: 0.82, Eidx_Training: 179.67488, Eidx_CV: 43.12812 
C: 1.8,  Sigma: 0.1, TP:20.0, FP:18.0, TN:12.0, FN:0.0, Precesion: 0.53, Recall: 1.0, Accuracy: 0.64, Eidx_Training: 245.40623, Eidx_CV: 54.52947 
