C: 0.6,  Sigma: 0.08, TP:20.0, FP:8.0, TN:22.0, FN:0.0, Precesion: 0.71, Recall: 1.0, Accuracy: 0.84, Eidx_Training: 132.01602, Eidx_CV: 35.02594 
C: 0.6,  Sigma: 0.5, TP:15.0, FP:7.0, TN:23.0, FN:5.0, Precesion: 0.68, Recall: 0.75, Accuracy: 0.76, Eidx_Training: 172.46202, Eidx_CV: 36.20414 
C: 0.6,  Sigma: 0.1, TP:16.0, FP:3.0, TN:27.0, FN:4.0, Precesion: 0.84, Recall: 0.8, Accuracy: 0.86, Eidx_Training: 91.84173, Eidx_CV: 24.40235 
C: 0.6,  Sigma: 0.06, TP:20.0, FP:12.0, TN:18.0, FN:0.0, Precesion: 0.63, Recall: 1.0, Accuracy: 0.76, Eidx_Training: 133.8465, Eidx_CV: 36.90999 
C: 0.6,  Sigma: 0.3, TP:17.0, FP:10.0, TN:20.0, FN:3.0, Precesion: 0.63, Recall: 0.85, Accuracy: 0.74, Eidx_Training: 160.13013, Eidx_CV: 39.26198 
C: 0.6,  Sigma: 0.8, TP:15.0, FP:9.0, TN:21.0, FN:5.0, Precesion: 0.63, Recall: 0.75, Accuracy: 0.72, Eidx_Training: 181.3956, Eidx_CV: 36.2493 
C: 0.6,  Sigma: 1.0, TP:11.0, FP:4.0, TN:26.0, FN:9.0, Precesion: 0.73, Recall: 0.55, Accuracy: 0.74, Eidx_Training: 180.51036, Eidx_CV: 31.62703 
C: 0.7,  Sigma: 0.06, TP:19.0, FP:6.0, TN:24.0, FN:1.0, Precesion: 0.76, Recall: 0.95, Accuracy: 0.86, Eidx_Training: 66.64316, Eidx_CV: 22.21177 
C: 0.7,  Sigma: 0.1, TP:18.0, FP:5.0, TN:25.0, FN:2.0, Precesion: 0.78, Recall: 0.9, Accuracy: 0.86, Eidx_Training: 79.26515, Eidx_CV: 25.07147 
C: 0.7,  Sigma: 0.08, TP:17.0, FP:5.0, TN:25.0, FN:3.0, Precesion: 0.77, Recall: 0.85, Accuracy: 0.84, Eidx_Training: 78.14472, Eidx_CV: 22.34288 
C: 0.7,  Sigma: 0.3, TP:15.0, FP:7.0, TN:23.0, FN:5.0, Precesion: 0.68, Recall: 0.75, Accuracy: 0.76, Eidx_Training: 120.8182, Eidx_CV: 27.49711 
C: 0.6,  Sigma: 1.5, TP:8.0, FP:2.0, TN:28.0, FN:12.0, Precesion: 0.8, Recall: 0.4, Accuracy: 0.72, Eidx_Training: 184.99, Eidx_CV: 31.12253 
C: 0.7,  Sigma: 0.5, TP:16.0, FP:6.0, TN:24.0, FN:4.0, Precesion: 0.73, Recall: 0.8, Accuracy: 0.8, Eidx_Training: 143.57709, Eidx_CV: 30.21041 
C: 0.6,  Sigma: 2.0, TP:8.0, FP:2.0, TN:28.0, FN:12.0, Precesion: 0.8, Recall: 0.4, Accuracy: 0.72, Eidx_Training: 192.10012, Eidx_CV: 33.70209 
C: 0.8,  Sigma: 0.08, TP:18.0, FP:5.0, TN:25.0, FN:2.0, Precesion: 0.78, Recall: 0.9, Accuracy: 0.86, Eidx_Training: 52.09111, Eidx_CV: 19.93929 
