C: 0.6,  Sigma: 0.3, TP:17.0, FP:14.0, TN:16.0, FN:3.0, Precesion: 0.55, Recall: 0.85, Accuracy: 0.66, Eidx_Training: 157.68653, Eidx_CV: 41.95874 
C: 0.6,  Sigma: 0.08, TP:20.0, FP:10.0, TN:20.0, FN:0.0, Precesion: 0.67, Recall: 1.0, Accuracy: 0.8, Eidx_Training: 122.25642, Eidx_CV: 35.13389 
C: 0.6,  Sigma: 0.1, TP:19.0, FP:7.0, TN:23.0, FN:1.0, Precesion: 0.73, Recall: 0.95, Accuracy: 0.84, Eidx_Training: 104.38836, Eidx_CV: 30.78533 
C: 0.6,  Sigma: 0.5, TP:16.0, FP:8.0, TN:22.0, FN:4.0, Precesion: 0.67, Recall: 0.8, Accuracy: 0.76, Eidx_Training: 152.21609, Eidx_CV: 35.93937 
C: 0.6,  Sigma: 1.0, TP:10.0, FP:5.0, TN:25.0, FN:10.0, Precesion: 0.67, Recall: 0.5, Accuracy: 0.7, Eidx_Training: 244.58584, Eidx_CV: 46.11767 
C: 0.6,  Sigma: 0.8, TP:16.0, FP:10.0, TN:20.0, FN:4.0, Precesion: 0.62, Recall: 0.8, Accuracy: 0.72, Eidx_Training: 185.20547, Eidx_CV: 40.40212 
C: 0.6,  Sigma: 0.06, TP:16.0, FP:0.0, TN:30.0, FN:4.0, Precesion: 1.0, Recall: 0.8, Accuracy: 0.92, Eidx_Training: 132.60402, Eidx_CV: 25.39898 
C: 0.7,  Sigma: 0.3, TP:16.0, FP:7.0, TN:23.0, FN:4.0, Precesion: 0.7, Recall: 0.8, Accuracy: 0.78, Eidx_Training: 113.74248, Eidx_CV: 29.15355 
C: 0.7,  Sigma: 0.06, TP:19.0, FP:6.0, TN:24.0, FN:1.0, Precesion: 0.76, Recall: 0.95, Accuracy: 0.86, Eidx_Training: 70.6986, Eidx_CV: 24.88177 
C: 0.7,  Sigma: 0.08, TP:16.0, FP:0.0, TN:30.0, FN:4.0, Precesion: 1.0, Recall: 0.8, Accuracy: 0.92, Eidx_Training: 86.75226, Eidx_CV: 21.97679 
C: 0.7,  Sigma: 0.1, TP:18.0, FP:6.0, TN:24.0, FN:2.0, Precesion: 0.75, Recall: 0.9, Accuracy: 0.84, Eidx_Training: 73.00393, Eidx_CV: 23.91782 
C: 0.6,  Sigma: 1.5, TP:9.0, FP:1.0, TN:29.0, FN:11.0, Precesion: 0.9, Recall: 0.45, Accuracy: 0.76, Eidx_Training: 182.81767, Eidx_CV: 32.10998 
C: 0.7,  Sigma: 0.5, TP:16.0, FP:8.0, TN:22.0, FN:4.0, Precesion: 0.67, Recall: 0.8, Accuracy: 0.76, Eidx_Training: 154.62376, Eidx_CV: 35.8727 
C: 0.6,  Sigma: 2.0, TP:10.0, FP:3.0, TN:27.0, FN:10.0, Precesion: 0.77, Recall: 0.5, Accuracy: 0.74, Eidx_Training: 221.85397, Eidx_CV: 37.6971 
C: 0.8,  Sigma: 0.1, TP:19.0, FP:11.0, TN:19.0, FN:1.0, Precesion: 0.63, Recall: 0.95, Accuracy: 0.76, Eidx_Training: 142.62166, Eidx_CV: 37.75318 
C: 0.8,  Sigma: 0.06, TP:20.0, FP:11.0, TN:19.0, FN:0.0, Precesion: 0.65, Recall: 1.0, Accuracy: 0.78, Eidx_Training: 185.06536, Eidx_CV: 44.86515 
C: 0.8,  Sigma: 0.08, TP:17.0, FP:5.0, TN:25.0, FN:3.0, Precesion: 0.77, Recall: 0.85, Accuracy: 0.84, Eidx_Training: 54.69534, Eidx_CV: 19.12822 
C: 0.7,  Sigma: 0.8, TP:16.0, FP:9.0, TN:21.0, FN:4.0, Precesion: 0.64, Recall: 0.8, Accuracy: 0.74, Eidx_Training: 175.71149, Eidx_CV: 38.55665 
C: 0.7,  Sigma: 2.0, TP:12.0, FP:3.0, TN:27.0, FN:8.0, Precesion: 0.8, Recall: 0.6, Accuracy: 0.78, Eidx_Training: 196.27326, Eidx_CV: 34.25889 
C: 0.7,  Sigma: 1.5, TP:9.0, FP:2.0, TN:28.0, FN:11.0, Precesion: 0.82, Recall: 0.45, Accuracy: 0.74, Eidx_Training: 180.3499, Eidx_CV: 31.29692 
