C: 0.6,  Sigma: 0.06, Precesion: 0.41, Recall: 1.0, Accuracy: 0.42 
C: 0.6,  Sigma: 0.08, Precesion: 0.42, Recall: 1.0, Accuracy: 0.44 
C: 0.6,  Sigma: 0.1, Precesion: 0.0, Recall: 0.0, Accuracy: 0.58 
C: 0.6,  Sigma: 0.3, Precesion: 0.46, Recall: 0.61, Accuracy: 0.56 
C: 0.6,  Sigma: 0.5, Precesion: 0.41, Recall: 0.5, Accuracy: 0.51 
C: 0.6,  Sigma: 0.8, Precesion: 0.5, Recall: 0.5, Accuracy: 0.6 
C: 0.6,  Sigma: 1.0, Precesion: 0.55, Recall: 0.33, Accuracy: 0.62 
C: 0.6,  Sigma: 1.5, Precesion: 0.57, Recall: 0.22, Accuracy: 0.62 
C: 0.6,  Sigma: 2.0, Precesion: 0.47, Recall: 0.5, Accuracy: 0.58 
C: 0.7,  Sigma: 0.06, Precesion: 0.41, Recall: 1.0, Accuracy: 0.42 
C: 0.7,  Sigma: 0.08, Precesion: 0.44, Recall: 0.67, Accuracy: 0.53 
C: 0.7,  Sigma: 0.1, Precesion: 0.4, Recall: 0.22, Accuracy: 0.56 
C: 0.7,  Sigma: 0.3, Precesion: 0.46, Recall: 0.67, Accuracy: 0.56 
C: 0.7,  Sigma: 0.5, Precesion: 0.46, Recall: 0.61, Accuracy: 0.56 
C: 0.7,  Sigma: 0.8, Precesion: 0.47, Recall: 0.44, Accuracy: 0.58 
C: 0.7,  Sigma: 1.0, Precesion: 0.67, Recall: 0.22, Accuracy: 0.64 
C: 0.7,  Sigma: 1.5, Precesion: 0.5, Recall: 0.56, Accuracy: 0.6 
C: 0.7,  Sigma: 2.0, Precesion: 0.56, Recall: 0.28, Accuracy: 0.62 
C: 0.8,  Sigma: 0.06, Precesion: 0.41, Recall: 1.0, Accuracy: 0.42 
C: 0.8,  Sigma: 0.08, Precesion: 0.25, Recall: 0.06, Accuracy: 0.56 
C: 0.8,  Sigma: 0.1, Precesion: 0.45, Recall: 0.94, Accuracy: 0.51 
C: 0.8,  Sigma: 0.3, Precesion: 0.42, Recall: 0.44, Accuracy: 0.53 
C: 0.8,  Sigma: 0.5, Precesion: 0.56, Recall: 0.5, Accuracy: 0.64 
C: 0.8,  Sigma: 0.8, Precesion: 0.43, Recall: 0.33, Accuracy: 0.56 
C: 0.8,  Sigma: 1.0, Precesion: 0.46, Recall: 0.61, Accuracy: 0.56 
C: 0.8,  Sigma: 1.5, Precesion: 0.41, Recall: 0.78, Accuracy: 0.47 
C: 0.8,  Sigma: 2.0, Precesion: 0.44, Recall: 0.67, Accuracy: 0.53 
C: 1.0,  Sigma: 0.06, Precesion: 0.41, Recall: 1.0, Accuracy: 0.42 
C: 1.0,  Sigma: 0.08, Precesion: 0.42, Recall: 1.0, Accuracy: 0.44 
C: 1.0,  Sigma: 0.1, Precesion: 0.44, Recall: 0.94, Accuracy: 0.49 
C: 1.0,  Sigma: 0.3, Precesion: 0.44, Recall: 0.83, Accuracy: 0.51 
C: 1.0,  Sigma: 0.5, Precesion: 0.56, Recall: 0.5, Accuracy: 0.64 
C: 1.0,  Sigma: 0.8, Precesion: 0.46, Recall: 1.0, Accuracy: 0.53 
C: 1.0,  Sigma: 1.0, Precesion: 0.48, Recall: 0.67, Accuracy: 0.58 
C: 1.0,  Sigma: 1.5, Precesion: 0.5, Recall: 0.5, Accuracy: 0.6 
C: 1.0,  Sigma: 2.0, Precesion: 0.46, Recall: 0.33, Accuracy: 0.58 
