C: 0.6,  Sigma: 0.5, TP:19.0, FP:16.0, TN:12.0, FN:3.0, Precesion: 0.54, Recall: 0.86, Accuracy: 0.62, Eidx_Training: 147.63422, Eidx_CV: 42.93782 
C: 0.6,  Sigma: 0.08, TP:22.0, FP:6.0, TN:22.0, FN:0.0, Precesion: 0.79, Recall: 1.0, Accuracy: 0.88, Eidx_Training: 100.37048, Eidx_CV: 29.52497 
C: 0.6,  Sigma: 1.5, TP:20.0, FP:22.0, TN:6.0, FN:2.0, Precesion: 0.48, Recall: 0.91, Accuracy: 0.52, Eidx_Training: 206.76608, Eidx_CV: 52.19754 
C: 0.6,  Sigma: 1.0, TP:15.0, FP:13.0, TN:15.0, FN:7.0, Precesion: 0.54, Recall: 0.68, Accuracy: 0.6, Eidx_Training: 175.22404, Eidx_CV: 42.15595 
C: 0.6,  Sigma: 2.0, TP:21.0, FP:22.0, TN:6.0, FN:1.0, Precesion: 0.49, Recall: 0.95, Accuracy: 0.54, Eidx_Training: 277.03165, Eidx_CV: 69.0192 
C: 0.6,  Sigma: 0.1, TP:22.0, FP:6.0, TN:22.0, FN:0.0, Precesion: 0.79, Recall: 1.0, Accuracy: 0.88, Eidx_Training: 105.1648, Eidx_CV: 28.26833 
C: 0.6,  Sigma: 0.8, TP:10.0, FP:8.0, TN:20.0, FN:12.0, Precesion: 0.56, Recall: 0.45, Accuracy: 0.6, Eidx_Training: 218.16822, Eidx_CV: 48.82188 
C: 0.6,  Sigma: 0.3, TP:20.0, FP:6.0, TN:22.0, FN:2.0, Precesion: 0.77, Recall: 0.91, Accuracy: 0.84, Eidx_Training: 114.8027, Eidx_CV: 32.4495 
C: 0.6,  Sigma: 0.06, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 98.7039, Eidx_CV: 28.27647 
C: 0.6,  Sigma: 0.05, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 98.77286, Eidx_CV: 28.31873 
C: 0.6,  Sigma: 0.04, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 93.43702, Eidx_CV: 26.48062 
C: 0.7,  Sigma: 0.04, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 52.72737, Eidx_CV: 28.17757 
C: 0.7,  Sigma: 0.08, TP:22.0, FP:7.0, TN:21.0, FN:0.0, Precesion: 0.76, Recall: 1.0, Accuracy: 0.86, Eidx_Training: 153.68166, Eidx_CV: 37.20376 
C: 0.7,  Sigma: 0.05, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 73.01915, Eidx_CV: 20.23134 
C: 0.7,  Sigma: 0.1, TP:22.0, FP:5.0, TN:23.0, FN:0.0, Precesion: 0.81, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 66.0973, Eidx_CV: 20.91977 
C: 0.7,  Sigma: 0.06, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 69.59277, Eidx_CV: 19.57738 
C: 0.8,  Sigma: 0.05, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 178.98376, Eidx_CV: 39.25778 
C: 0.7,  Sigma: 0.5, TP:19.0, FP:14.0, TN:14.0, FN:3.0, Precesion: 0.58, Recall: 0.86, Accuracy: 0.66, Eidx_Training: 130.71577, Eidx_CV: 37.08893 
C: 0.7,  Sigma: 2.0, TP:19.0, FP:21.0, TN:7.0, FN:3.0, Precesion: 0.47, Recall: 0.86, Accuracy: 0.52, Eidx_Training: 203.84532, Eidx_CV: 48.3009 
C: 0.7,  Sigma: 1.0, TP:19.0, FP:16.0, TN:12.0, FN:3.0, Precesion: 0.54, Recall: 0.86, Accuracy: 0.62, Eidx_Training: 198.62585, Eidx_CV: 47.43155 
C: 0.7,  Sigma: 0.3, TP:20.0, FP:10.0, TN:18.0, FN:2.0, Precesion: 0.67, Recall: 0.91, Accuracy: 0.76, Eidx_Training: 101.75509, Eidx_CV: 32.75739 
C: 0.7,  Sigma: 0.8, TP:17.0, FP:15.0, TN:13.0, FN:5.0, Precesion: 0.53, Recall: 0.77, Accuracy: 0.6, Eidx_Training: 174.7265, Eidx_CV: 45.42539 
C: 0.7,  Sigma: 1.5, TP:21.0, FP:22.0, TN:6.0, FN:1.0, Precesion: 0.49, Recall: 0.95, Accuracy: 0.54, Eidx_Training: 213.88085, Eidx_CV: 52.53607 
C: 0.8,  Sigma: 0.04, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 55.8645, Eidx_CV: 28.36731 
C: 0.8,  Sigma: 0.3, TP:21.0, FP:12.0, TN:16.0, FN:1.0, Precesion: 0.64, Recall: 0.95, Accuracy: 0.74, Eidx_Training: 126.85615, Eidx_CV: 34.85042 
C: 1.0,  Sigma: 0.06, TP:22.0, FP:8.0, TN:20.0, FN:0.0, Precesion: 0.73, Recall: 1.0, Accuracy: 0.84, Eidx_Training: 228.27107, Eidx_CV: 47.3441 
C: 0.8,  Sigma: 0.5, TP:19.0, FP:13.0, TN:15.0, FN:3.0, Precesion: 0.59, Recall: 0.86, Accuracy: 0.68, Eidx_Training: 127.65379, Eidx_CV: 36.27578 
C: 1.0,  Sigma: 0.05, TP:22.0, FP:6.0, TN:22.0, FN:0.0, Precesion: 0.79, Recall: 1.0, Accuracy: 0.88, Eidx_Training: 204.87286, Eidx_CV: 43.14953 
C: 0.8,  Sigma: 1.5, TP:19.0, FP:14.0, TN:14.0, FN:3.0, Precesion: 0.58, Recall: 0.86, Accuracy: 0.66, Eidx_Training: 194.178, Eidx_CV: 45.90474 
C: 0.8,  Sigma: 0.1, TP:22.0, FP:7.0, TN:21.0, FN:0.0, Precesion: 0.76, Recall: 1.0, Accuracy: 0.86, Eidx_Training: 122.11067, Eidx_CV: 32.04495 
C: 0.8,  Sigma: 1.0, TP:15.0, FP:13.0, TN:15.0, FN:7.0, Precesion: 0.54, Recall: 0.68, Accuracy: 0.6, Eidx_Training: 186.06598, Eidx_CV: 44.83066 
C: 0.8,  Sigma: 0.8, TP:19.0, FP:21.0, TN:7.0, FN:3.0, Precesion: 0.47, Recall: 0.86, Accuracy: 0.52, Eidx_Training: 211.50069, Eidx_CV: 54.111 
C: 0.8,  Sigma: 2.0, TP:22.0, FP:25.0, TN:3.0, FN:0.0, Precesion: 0.47, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 321.5907, Eidx_CV: 79.76078 
C: 0.8,  Sigma: 0.08, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 56.31664, Eidx_CV: 18.75015 
C: 0.8,  Sigma: 0.06, TP:22.0, FP:6.0, TN:22.0, FN:0.0, Precesion: 0.79, Recall: 1.0, Accuracy: 0.88, Eidx_Training: 136.06534, Eidx_CV: 33.55474 
C: 1.0,  Sigma: 0.04, TP:22.0, FP:4.0, TN:24.0, FN:0.0, Precesion: 0.85, Recall: 1.0, Accuracy: 0.92, Eidx_Training: 173.46498, Eidx_CV: 43.11005 
C: 1.0,  Sigma: 2.0, TP:22.0, FP:26.0, TN:2.0, FN:0.0, Precesion: 0.46, Recall: 1.0, Accuracy: 0.48, Eidx_Training: 395.7179, Eidx_CV: 93.07763 
C: 1.0,  Sigma: 0.08, TP:22.0, FP:6.0, TN:22.0, FN:0.0, Precesion: 0.79, Recall: 1.0, Accuracy: 0.88, Eidx_Training: 193.09902, Eidx_CV: 40.83945 
C: 1.0,  Sigma: 0.3, TP:21.0, FP:10.0, TN:18.0, FN:1.0, Precesion: 0.68, Recall: 0.95, Accuracy: 0.78, Eidx_Training: 97.86372, Eidx_CV: 30.01885 
C: 1.3,  Sigma: 0.05, TP:22.0, FP:13.0, TN:15.0, FN:0.0, Precesion: 0.63, Recall: 1.0, Accuracy: 0.74, Eidx_Training: 246.86207, Eidx_CV: 50.61936 
C: 1.3,  Sigma: 0.08, TP:22.0, FP:23.0, TN:5.0, FN:0.0, Precesion: 0.49, Recall: 1.0, Accuracy: 0.54, Eidx_Training: 249.37182, Eidx_CV: 51.78668 
C: 1.3,  Sigma: 0.04, TP:22.0, FP:13.0, TN:15.0, FN:0.0, Precesion: 0.63, Recall: 1.0, Accuracy: 0.74, Eidx_Training: 246.94144, Eidx_CV: 50.58202 
