quote_time,id_tb_StockXPeriodRecords,stock_code,open_price,high_price,low_price,close_price,period,trading_volumn,Capital,PE_TTM,PB,nor_open_price,nor_high_price,nor_low_price,nor_close_price,nor_trading_volumn,nor_Capital,nor_PE_TTM,nor_PB
2017-04-28,1945,sz300226,34.81,34.9,35.2,34.5,day,17030.0,-511.77,212.831585441,10.8150470219,-1.72616613214,-1.70040544335,-1.72551043331,-1.72455743599,-0.76646573263,-0.0247483579281,1.05192690428,-1.37079101234
2017-04-27,1944,sz300226,33.89,35.11,35.46,33.3,day,38089.0,2794.29,205.428747687,10.4388714734,-1.86587378193,-1.66858870217,-1.68770525683,-1.91549151365,-0.09604559566,0.652759496141,1.00302582666,-1.471162774
2017-04-26,1943,sz300226,33.49,33.6,33.9,33.4,day,12339.0,-91.14,206.045650833,10.4702194357,-1.92661623836,-1.8973662221,-1.91453631569,-1.89958034051,-0.915805248397,0.0614509635171,1.00710091646,-1.46279846053
2017-04-25,1942,sz300226,33.29,33.49,34.2,33.18,day,13987.0,744.24,204.688463911,10.4012539185,-1.95698746657,-1.91403213415,-1.87091495822,-1.93458492141,-0.863340630622,0.232644623382,0.9981357189,-1.48119995017
2017-04-24,1941,sz300226,34.15,33.04,34.15,33.01,day,12596.0,-563.21,203.639728563,10.3479623824,-1.82639118525,-1.98221086525,-1.87818518447,-1.96163391575,-0.907623569533,-0.0352899101121,0.991208066237,-1.49541928307
2017-04-21,1940,sz300226,34.88,34.15,34.99,33.97,day,16005.0,-1066.51,209.561998766,10.6489028213,-1.71553620227,-1.81403666186,-1.75604538354,-1.80888665362,-0.799096942108,-0.138430719097,1.03032892833,-1.41512187374
2017-04-20,1939,sz300226,34.4,35.0,35.28,33.83,day,23143.0,676.06,208.698334362,10.605015674,-1.78842714998,-1.68525461421,-1.71387807131,-1.83116229601,-0.571856382837,0.218672558298,1.02462380261,-1.4268319126
2017-04-19,1938,sz300226,34.55,34.4,34.98,33.7,day,19343.0,-602.69,207.896360271,10.5642633229,-1.76564872882,-1.77615958902,-1.75749942879,-1.85184682109,-0.692830622853,-0.0433805104275,1.01932618587,-1.43770552011
2017-04-18,1937,sz300226,35.76,34.73,36.3,34.6,day,17770.0,-1231.01,213.448488587,10.8463949843,-1.58190279812,-1.72616185288,-1.5655654559,-1.70864626285,-0.742907591154,-0.172141553745,1.05600199408,-1.36242669886
2017-04-17,1936,sz300226,36.31,35.76,36.6,35.3,day,15711.0,-852.18,217.766810611,11.065830721,-1.49838192053,-1.57010831279,-1.52194409843,-1.59726805088,-0.808456528046,-0.0945082680942,1.08452762269,-1.30387650456
2017-04-14,1935,sz300226,36.32,36.46,37.0,36.2,day,21476.0,-578.66,223.318938927,11.3479623824,-1.49686335912,-1.46405250885,-1.46378228846,-1.45406749264,-0.624925871812,-0.0384560644908,1.12120343091,-1.22859768331
2017-04-13,1934,sz300226,36.7,36.44,37.27,36.23,day,20279.0,98.76,223.50400987,11.3573667712,-1.43915802552,-1.46708267468,-1.42452306674,-1.4492941407,-0.663032757417,0.100366996949,1.12242595785,-1.22608838927
2017-04-12,1933,sz300226,36.5,36.34,36.74,36.1,day,20407.0,487.47,222.70203578,11.3166144201,-1.46952925373,-1.48223350381,-1.50158746494,-1.46997866578,-0.658957835648,0.180024981969,1.11712834111,-1.23696199678
2017-04-11,1932,sz300226,36.41,36.59,36.75,36.01,day,21994.0,-111.0,222.146822949,11.2884012539,-1.48319630643,-1.44435643098,-1.50013341969,-1.4842987216,-0.608435172779,0.0573810718691,1.11346076029,-1.24448987891
