quote_time,id_tb_StockXPeriodRecords,stock_code,open_price,high_price,low_price,close_price,period,trading_volumn,Capital,PE_TTM,PB,open_price-Order2,high_price-Order2,low_price-Order2,close_price-Order2,trading_volumn-Order2,Capital-Order2,PE_TTM-Order2,PB-Order2,nor_open_price,nor_high_price,nor_low_price,nor_close_price,nor_trading_volumn,nor_Capital,nor_PE_TTM,nor_PB,nor_open_price-Order2,nor_high_price-Order2,nor_low_price-Order2,nor_close_price-Order2,nor_trading_volumn-Order2,nor_Capital-Order2,nor_PE_TTM-Order2,nor_PB-Order2
2017-05-19,2277,sh600867,21.33,21.07,21.37,20.88,day,37763.0,,58.5365853659,7.17525773196,454.9689,443.9449,456.6769,435.9744,1426044169.0,,3426.53182629,51.48432352,-0.0197600307357,-0.245530041886,-0.184422349678,-0.21369585895,-0.46693012414,,0.0982212548796,-1.19296499078,-0.0471970403614,-0.268625320464,-0.208540142985,-0.23793840484,-0.355967996346,,-0.0626080341698,-1.07751346054
2017-05-18,2276,sh600867,21.21,21.33,21.55,21.03,day,32120.0,,58.9571068124,7.22680412371,449.8641,454.9689,464.4025,442.2609,1031694400.0,,3475.94044369,52.2266978425,-0.119617763524,-0.0284785811603,-0.0333935782284,-0.0899321803095,-0.67503806774,,0.117895148948,-1.15973549231,-0.145422675548,-0.0557419641901,-0.0601644668832,-0.116789425906,-0.431873316899,,-0.0481506258726,-1.05280878942
2017-05-17,2275,sh600867,21.23,21.29,21.5,21.22,day,31540.0,,59.4897673115,7.29209621993,450.7129,453.2641,462.25,450.2884,994771600.0,,3539.03241477,53.1746672807,-0.102974808059,-0.0618711135796,-0.0753460147422,0.066835145968,-0.696427861695,,0.142815414767,-1.11764479424,-0.129090219987,-0.0886631856865,-0.101504769618,0.0379108728933,-0.438980299557,,-0.0296893445386,-1.0212623411
2017-05-16,2274,sh600867,20.8,21.29,21.32,20.74,day,68728.0,-10.03,58.1440986824,7.12714776632,432.64,453.2641,454.5424,430.1476,4723537984.0,100.6009,3380.73621158,50.796235283,-0.46079835055,-0.0618711135796,-0.226374786192,-0.32920862568,0.675026720369,0.105960655082,0.0798589537495,-1.22397918935,-0.476845681936,-0.0886631856865,-0.24953474284,-0.350228370713,0.278740946643,-0.410975262973,-0.076008245204,-1.10041160381
2017-05-12,2272,sh600867,20.73,20.58,20.75,20.5,day,32744.0,-1196.07,57.4712643678,7.04467353952,429.7329,423.5364,430.5625,420.25,1072169536.0,1430583.4449,3302.94622804,49.6274252784,-0.519048694676,-0.654588564023,-0.704632562449,-0.527230511505,-0.652025599761,-0.583142338356,0.0483807232407,-1.27714638691,-0.532783572559,-0.662731813254,-0.710085881308,-0.540967913209,-0.424082572707,-0.214304182868,-0.0987702979142,-1.13930716618
2017-05-11,2271,sh600867,20.48,20.73,20.77,20.33,day,33870.0,-849.23,56.994673395,6.98625429553,419.4304,429.7329,431.3929,413.3089,1147176900.0,721191.5929,3248.3927954,48.8077490818,-0.727085637985,-0.52936656745,-0.687851587844,-0.667496013963,-0.610499896324,-0.381624276365,0.026083643297,-1.31480648518,-0.731022407872,-0.543071824398,-0.69413745511,-0.674731880073,-0.409644988471,-0.311835490102,-0.114733125677,-1.16658428265
2017-05-10,2270,sh600867,20.56,20.54,20.78,20.31,day,34382.0,-21.25,56.9386038688,6.9793814433,422.7136,421.8916,431.8084,412.4961,1182121924.0,451.5625,3242.00461053,48.7117653311,-0.660513816126,-0.687981096442,-0.679461100541,-0.683997837782,-0.591617871315,0.0994417049741,0.0234604574213,-1.31923708497,-0.667847669303,-0.69449438078,-0.686157480296,-0.69039558644,-0.402918692535,-0.410927010736,-0.116602366346,-1.16977842195
2017-05-09,2269,sh600867,20.48,20.56,20.68,20.3,day,39023.0,848.14,56.9105691057,6.97594501718,419.4304,422.7136,427.6624,412.09,1522794529.0,719341.4596,3238.81287593,48.6638088827,-0.727085637985,-0.671284830233,-0.763365973568,-0.692248749692,-0.420462640721,0.604567376508,0.0221488644834,-1.32145238487,-0.731022407872,-0.678620821377,-0.765784376992,-0.698221658236,-0.337345271884,-0.312089857161,-0.117536296754,-1.17137431265
2017-05-08,2268,sh600867,20.76,20.49,20.8,20.33,day,51882.0,-1012.45,56.994673395,6.98625429553,430.9776,419.8401,432.64,413.3089,2691741924.0,1025055.0025,3248.3927954,48.8077490818,-0.494084261479,-0.729721761966,-0.662680125935,-0.667496013963,0.0537638428428,-0.47645698908,0.026083643297,-1.31480648518,-0.508833281045,-0.734110691139,-0.670186007239,-0.674731880073,-0.112343677609,-0.270058585736,-0.114733125677,-1.16658428265
2017-05-05,2267,sh600867,20.75,20.76,20.86,20.62,day,32835.0,-1510.72,57.8076815251,7.08591065292,430.5625,430.9776,435.1396,425.1844,1078137225.0,2282274.9184,3341.72804331,50.2101297812,-0.502405739211,-0.504322168136,-0.612337202119,-0.428219568593,-0.648669614847,-0.765957637069,0.0641198384951,-1.25056278813,-0.516820559914,-0.519035547769,-0.622179400635,-0.44587564857,-0.422933898656,-0.0972086981426,-0.0874223880276,-1.11991597408
2017-05-04,2266,sh600867,20.99,20.75,21.14,20.66,day,71634.0,-2069.52,57.9198205775,7.09965635739,440.5801,430.5625,446.8996,426.8356,5131429956.0,4282913.0304,3354.70561573,50.405120393,-0.302690273635,-0.512670301241,-0.377403557642,-0.395215920955,0.782196963874,-1.09062691697,0.0693662102466,-1.24170158854,-0.324063718697,-0.527051502159,-0.396320185693,-0.414054890753,0.357252900546,0.17785063587,-0.0836250329683,-1.11342709267
2017-05-03,2265,sh600867,21.46,21.06,21.46,20.85,day,49613.0,-1166.14,58.4524810765,7.16494845361,460.5316,443.5236,460.5316,434.7225,2461449769.0,1359882.4996,3416.692544,51.3364863429,0.0884191797848,-0.253878174991,-0.108907963953,-0.238448594678,-0.0299145062672,-0.565752661285,0.094286476066,-1.19961089047,0.0598394235256,-0.276761002431,-0.13450787123,-0.262064135649,-0.156670823762,-0.224024558988,-0.0654870971536,-1.08243317386
2017-05-02,2264,sh600867,21.59,21.46,21.67,21.36,day,29607.0,-590.17,59.882253995,7.34020618557,466.1281,460.5316,469.5889,456.2496,876574449.0,348300.6289,3585.88434352,53.8786268466,0.196598390305,0.0800471492026,0.0672922694047,0.182347912699,-0.767714881893,-0.231107412279,0.161177715897,-1.08663059567,0.167526260879,0.0516787765524,0.0394440562779,0.152790900449,-0.461731150047,-0.363102703098,-0.0159800464648,-0.997836033064
2017-04-28,2263,sh600867,21.6,21.61,21.76,21.47,day,33844.0,-758.08,60.1906363891,7.37800687285,466.56,466.9921,473.4976,460.9609,1145416336.0,574685.2864,3622.91270893,54.4349854159,0.204919868038,0.205269145775,0.14280665513,0.273107943702,-0.611458749156,-0.32866506938,0.175605238214,-1.06226229679,0.175836802298,0.176436842881,0.114513436673,0.24358373978,-0.409983865745,-0.331978027052,-0.0051452118651,-0.979321578752
2017-04-27,2262,sh600867,21.16,21.71,21.76,21.16,day,87564.0,1217.71,59.3215587328,7.27147766323,447.7456,471.3241,473.4976,447.7456,7667454096.0,1482817.6441,3519.04733049,52.8743874069,-0.161225152185,0.288750476823,0.14280665513,0.0173296745119,1.36967871853,0.819291832078,0.13494585714,-1.13093659363,-0.186186468084,0.260091659588,0.114513436673,-0.011092169123,0.845392467016,-0.207122722134,-0.0355371609418,-1.03125502983
2017-04-26,2261,sh600867,21.53,21.18,21.66,21.05,day,62828.0,-2164.73,59.0131763387,7.23367697595,463.5409,448.5924,469.1556,443.1025,3947357584.0,4686055.9729,3482.55498158,52.3260825923,0.146669523911,-0.153700577733,0.058901782102,-0.0734303564908,0.45744088531,-1.14594503103,0.120518334823,-1.15530489251,0.117743828001,-0.178877914959,0.0311222197273,-0.100570706321,0.12934001706,0.233277066372,-0.0462151522668,-1.04950147196
2017-04-25,2260,sh600867,21.5,21.46,21.62,21.35,day,35244.0,-252.35,59.8542192318,7.33676975945,462.25,460.5316,467.4244,455.8225,1242139536.0,63680.5225,3582.52755985,53.8281905032,0.121705090714,0.0800471492026,0.0253398328909,0.174097000789,-0.559828212024,-0.0348300748846,0.159866122959,-1.08884589557,0.0929045644722,0.0516787765524,-0.0021267150437,0.144560131515,-0.391366369101,-0.402233926503,-0.0169622717226,-0.999514449517
2017-04-24,2259,sh600867,21.34,21.5,21.67,21.01,day,103529.0,1210.43,58.9010372862,7.21993127148,455.3956,462.25,469.5889,441.4201,10718253841.0,1465140.7849,3469.33219339,52.1274075649,-0.0114385530033,0.113439681622,0.0672922694047,-0.106434004128,1.95845123662,0.815062067659,0.115271963072,-1.1641660921,-0.0389865563985,0.0848626262822,0.0394440562779,-0.132992728457,1.43261718677,-0.209553039286,-0.0500842596746,-1.05611296304
2017-04-21,2258,sh600867,21.5,21.41,21.63,21.3,day,31867.0,756.18,59.7140454163,7.31958762887,462.25,458.3881,467.8569,453.69,1015505689.0,571808.1924,3565.76721998,53.5763630566,0.121705090714,0.0383064836784,0.0337303201937,0.132842441243,-0.684368443379,0.55113755013,0.15330815827,-1.09992239506,0.0929045644722,0.010285863438,0.00617975693439,0.103464100722,-0.434989355995,-0.332373586626,-0.0218664987478,-1.00789474239
2017-04-20,2257,sh600867,20.89,21.48,21.57,20.71,day,69065.0,2584.32,58.059994393,7.11683848797,436.3921,461.3904,465.2649,428.9041,4769974225.0,6678709.8624,3370.96294892,50.6493900639,-0.385905050959,0.0967434154122,-0.0166126036229,-0.353961361408,0.687454928236,1.61330808942,0.0759241749359,-1.23062508905,-0.404648454663,0.0682629770575,-0.0436014577875,-0.374192222666,0.287679097582,0.507238683156,-0.0788679902478,-1.10529830683
2017-04-19,2256,sh600867,21.2,20.94,21.3,20.8,day,65771.0,-2416.03,58.312307261,7.14776632302,449.44,438.4836,453.69,432.64,4325824441.0,5837200.9609,3400.3251781,51.0905634086,-0.127939241256,-0.354055772249,-0.243155760797,-0.279703154224,0.565975650154,-1.29195324513,0.0877285113767,-1.21068738996,-0.153583130782,-0.374087935996,-0.26590569478,-0.302196601828,0.202188159389,0.391543157502,-0.0702763364408,-1.09061697686
2017-04-18,2255,sh600867,21.36,21.32,21.66,21.18,day,59206.0,2619.66,59.377628259,7.27835051546,456.2496,454.5424,469.1556,448.5924,3505350436.0,6862618.5156,3525.70273767,52.974386226,0.00520440246135,-0.0368267142651,0.058901782102,0.0338314983306,0.323865309957,1.63384103923,0.137569043016,-1.12650599384,-0.0225540433815,-0.0639780628341,0.0311222197273,0.00522676118195,0.0442614982096,0.532523511714,-0.0335897286112,-1.02792727742
2017-04-17,2254,sh600867,21.22,21.22,21.55,21.11,day,33745.0,-285.94,59.1813849173,7.25429553265,450.2884,450.2884,464.4025,445.6321,1138725025.0,81761.6836,3502.43632073,52.624803675,-0.111296285791,-0.120308045313,-0.0333935782284,-0.0239248850348,-0.615109765711,-0.0543462543976,0.128387892451,-1.14201309312,-0.137258371949,-0.146126629379,-0.0601644668832,-0.0518220453623,-0.411271824167,-0.39974802358,-0.0403976926265,-1.03956065656
2017-04-14,2253,sh600867,21.35,21.21,21.4,21.2,day,32970.0,533.39,59.4336977853,7.2852233677,455.8225,449.8641,457.96,449.44,1087020900.0,284504.8921,3532.36443243,53.0744795172,-0.00311707527099,-0.128656178418,-0.15925088777,0.0503333221493,-0.643690955909,0.421693976635,0.140192228891,-1.12207539404,-0.0307722240718,-0.154320244044,-0.183897289355,0.0215611085207,-0.421223949135,-0.371873711094,-0.0316404564768,-1.02459638118
2017-04-13,2252,sh600867,21.3,21.34,21.47,21.01,day,51369.0,2356.06,58.9010372862,7.21993127148,453.69,455.3956,460.9609,441.4201,2638774161.0,5551018.7236,3469.33219339,52.1274075649,-0.0447244639327,-0.0201304480555,-0.10051747665,-0.106434004128,0.0348449388791,1.4806863825,0.115271963072,-1.1641660921,-0.071805402068,-0.0475020033663,-0.126262857542,-0.132992728457,-0.122539030429,0.352197163278,-0.0500842596746,-1.05611296304
