C: 0.7,  Sigma: 0.04, TP:28.0, FP:7.0, TN:15.0, FN:0.0, Precesion: 0.8, Recall: 1.0, Accuracy: 0.86, Eidx_Training: 67.65668, Eidx_CV: 20.11714 
C: 0.6,  Sigma: 0.08, TP:28.0, FP:19.0, TN:3.0, FN:0.0, Precesion: 0.6, Recall: 1.0, Accuracy: 0.62, Eidx_Training: 145.81712, Eidx_CV: 34.37411 
C: 0.6,  Sigma: 0.5, TP:26.0, FP:13.0, TN:9.0, FN:2.0, Precesion: 0.67, Recall: 0.93, Accuracy: 0.7, Eidx_Training: 175.64489, Eidx_CV: 35.33922 
C: 0.6,  Sigma: 0.06, TP:28.0, FP:8.0, TN:14.0, FN:0.0, Precesion: 0.78, Recall: 1.0, Accuracy: 0.84, Eidx_Training: 107.18729, Eidx_CV: 26.04663 
C: 0.6,  Sigma: 0.04, TP:28.0, FP:7.0, TN:15.0, FN:0.0, Precesion: 0.8, Recall: 1.0, Accuracy: 0.86, Eidx_Training: 104.12108, Eidx_CV: 25.73373 
C: 0.6,  Sigma: 0.1, TP:28.0, FP:9.0, TN:13.0, FN:0.0, Precesion: 0.76, Recall: 1.0, Accuracy: 0.82, Eidx_Training: 124.50524, Eidx_CV: 28.32852 
C: 0.6,  Sigma: 0.3, TP:26.0, FP:12.0, TN:10.0, FN:2.0, Precesion: 0.68, Recall: 0.93, Accuracy: 0.72, Eidx_Training: 168.47192, Eidx_CV: 34.68656 
C: 0.6,  Sigma: 0.05, TP:28.0, FP:8.0, TN:14.0, FN:0.0, Precesion: 0.78, Recall: 1.0, Accuracy: 0.84, Eidx_Training: 110.33797, Eidx_CV: 27.15791 
C: 0.6,  Sigma: 1.0, TP:22.0, FP:10.0, TN:12.0, FN:6.0, Precesion: 0.69, Recall: 0.79, Accuracy: 0.68, Eidx_Training: 210.59419, Eidx_CV: 39.7576 
C: 0.6,  Sigma: 1.5, TP:21.0, FP:6.0, TN:16.0, FN:7.0, Precesion: 0.78, Recall: 0.75, Accuracy: 0.74, Eidx_Training: 258.54887, Eidx_CV: 45.20428 
C: 0.6,  Sigma: 0.8, TP:22.0, FP:10.0, TN:12.0, FN:6.0, Precesion: 0.69, Recall: 0.79, Accuracy: 0.68, Eidx_Training: 200.13788, Eidx_CV: 37.51241 
C: 0.7,  Sigma: 0.3, TP:26.0, FP:11.0, TN:11.0, FN:2.0, Precesion: 0.7, Recall: 0.93, Accuracy: 0.74, Eidx_Training: 175.47983, Eidx_CV: 35.42629 
C: 0.7,  Sigma: 0.05, TP:27.0, FP:0.0, TN:22.0, FN:1.0, Precesion: 1.0, Recall: 0.96, Accuracy: 0.98, Eidx_Training: 77.32358, Eidx_CV: 21.0522 
C: 0.7,  Sigma: 0.06, TP:28.0, FP:8.0, TN:14.0, FN:0.0, Precesion: 0.78, Recall: 1.0, Accuracy: 0.84, Eidx_Training: 90.64907, Eidx_CV: 25.50011 
C: 0.7,  Sigma: 0.08, TP:28.0, FP:9.0, TN:13.0, FN:0.0, Precesion: 0.76, Recall: 1.0, Accuracy: 0.82, Eidx_Training: 97.7465, Eidx_CV: 25.60693 
C: 0.7,  Sigma: 0.8, TP:24.0, FP:13.0, TN:9.0, FN:4.0, Precesion: 0.65, Recall: 0.86, Accuracy: 0.66, Eidx_Training: 196.27801, Eidx_CV: 39.87127 
C: 0.7,  Sigma: 0.5, TP:26.0, FP:12.0, TN:10.0, FN:2.0, Precesion: 0.68, Recall: 0.93, Accuracy: 0.72, Eidx_Training: 187.69568, Eidx_CV: 35.42799 
C: 0.7,  Sigma: 0.1, TP:27.0, FP:9.0, TN:13.0, FN:1.0, Precesion: 0.75, Recall: 0.96, Accuracy: 0.8, Eidx_Training: 104.21208, Eidx_CV: 24.89459 
C: 0.8,  Sigma: 0.05, TP:28.0, FP:8.0, TN:14.0, FN:0.0, Precesion: 0.78, Recall: 1.0, Accuracy: 0.84, Eidx_Training: 88.80068, Eidx_CV: 25.76238 
C: 0.7,  Sigma: 1.5, TP:24.0, FP:13.0, TN:9.0, FN:4.0, Precesion: 0.65, Recall: 0.86, Accuracy: 0.66, Eidx_Training: 597.9611, Eidx_CV: 113.3836 
C: 0.7,  Sigma: 1.0, TP:9.0, FP:2.0, TN:20.0, FN:19.0, Precesion: 0.82, Recall: 0.32, Accuracy: 0.58, Eidx_Training: 312.99249, Eidx_CV: 59.61511 
C: 0.8,  Sigma: 0.04, TP:28.0, FP:7.0, TN:15.0, FN:0.0, Precesion: 0.8, Recall: 1.0, Accuracy: 0.86, Eidx_Training: 63.50423, Eidx_CV: 19.39126 
C: 1.0,  Sigma: 0.04, TP:28.0, FP:7.0, TN:15.0, FN:0.0, Precesion: 0.8, Recall: 1.0, Accuracy: 0.86, Eidx_Training: 204.65627, Eidx_CV: 48.12197 
C: 0.8,  Sigma: 0.1, TP:28.0, FP:11.0, TN:11.0, FN:0.0, Precesion: 0.72, Recall: 1.0, Accuracy: 0.78, Eidx_Training: 114.65574, Eidx_CV: 28.25266 
C: 0.8,  Sigma: 0.08, TP:28.0, FP:10.0, TN:12.0, FN:0.0, Precesion: 0.74, Recall: 1.0, Accuracy: 0.8, Eidx_Training: 101.26597, Eidx_CV: 26.5736 
C: 1.0,  Sigma: 0.05, TP:28.0, FP:8.0, TN:14.0, FN:0.0, Precesion: 0.78, Recall: 1.0, Accuracy: 0.84, Eidx_Training: 134.20591, Eidx_CV: 33.61789 
C: 1.0,  Sigma: 0.06, TP:28.0, FP:9.0, TN:13.0, FN:0.0, Precesion: 0.76, Recall: 1.0, Accuracy: 0.82, Eidx_Training: 135.02353, Eidx_CV: 34.13774 
C: 0.8,  Sigma: 0.5, TP:25.0, FP:14.0, TN:8.0, FN:3.0, Precesion: 0.64, Recall: 0.89, Accuracy: 0.66, Eidx_Training: 216.01004, Eidx_CV: 38.83329 
C: 0.8,  Sigma: 0.06, TP:28.0, FP:9.0, TN:13.0, FN:0.0, Precesion: 0.76, Recall: 1.0, Accuracy: 0.82, Eidx_Training: 134.19459, Eidx_CV: 34.42096 
C: 0.8,  Sigma: 0.3, TP:27.0, FP:11.0, TN:11.0, FN:1.0, Precesion: 0.71, Recall: 0.96, Accuracy: 0.76, Eidx_Training: 154.44898, Eidx_CV: 32.1762 
C: 0.8,  Sigma: 1.0, TP:28.0, FP:19.0, TN:3.0, FN:0.0, Precesion: 0.6, Recall: 1.0, Accuracy: 0.62, Eidx_Training: 288.77427, Eidx_CV: 56.34119 
C: 0.8,  Sigma: 1.5, TP:13.0, FP:3.0, TN:19.0, FN:15.0, Precesion: 0.81, Recall: 0.46, Accuracy: 0.64, Eidx_Training: 258.2665, Eidx_CV: 45.163 
C: 0.8,  Sigma: 0.8, TP:24.0, FP:14.0, TN:8.0, FN:4.0, Precesion: 0.63, Recall: 0.86, Accuracy: 0.64, Eidx_Training: 305.8903, Eidx_CV: 58.7807 
C: 1.0,  Sigma: 0.5, TP:25.0, FP:12.0, TN:10.0, FN:3.0, Precesion: 0.68, Recall: 0.89, Accuracy: 0.7, Eidx_Training: 239.22068, Eidx_CV: 35.74005 
C: 1.0,  Sigma: 0.3, TP:27.0, FP:12.0, TN:10.0, FN:1.0, Precesion: 0.69, Recall: 0.96, Accuracy: 0.74, Eidx_Training: 176.63717, Eidx_CV: 37.22515 
C: 1.3,  Sigma: 0.05, TP:28.0, FP:8.0, TN:14.0, FN:0.0, Precesion: 0.78, Recall: 1.0, Accuracy: 0.84, Eidx_Training: 178.69358, Eidx_CV: 43.54644 
C: 1.0,  Sigma: 1.5, TP:23.0, FP:9.0, TN:13.0, FN:5.0, Precesion: 0.72, Recall: 0.82, Accuracy: 0.72, Eidx_Training: 297.33712, Eidx_CV: 55.35677 
C: 1.0,  Sigma: 0.08, TP:28.0, FP:10.0, TN:12.0, FN:0.0, Precesion: 0.74, Recall: 1.0, Accuracy: 0.8, Eidx_Training: 169.27381, Eidx_CV: 41.07177 
C: 1.3,  Sigma: 0.06, TP:28.0, FP:22.0, TN:0.0, FN:0.0, Precesion: 0.56, Recall: 1.0, Accuracy: 0.56, Eidx_Training: 262.49583, Eidx_CV: 60.48315 
C: 1.0,  Sigma: 0.1, TP:28.0, FP:11.0, TN:11.0, FN:0.0, Precesion: 0.72, Recall: 1.0, Accuracy: 0.78, Eidx_Training: 134.2671, Eidx_CV: 34.47291 
C: 1.3,  Sigma: 0.08, TP:28.0, FP:9.0, TN:13.0, FN:0.0, Precesion: 0.76, Recall: 1.0, Accuracy: 0.82, Eidx_Training: 138.12228, Eidx_CV: 35.78143 
C: 1.3,  Sigma: 0.04, TP:28.0, FP:21.0, TN:1.0, FN:0.0, Precesion: 0.57, Recall: 1.0, Accuracy: 0.58, Eidx_Training: 267.10207, Eidx_CV: 60.99221 
C: 1.0,  Sigma: 0.8, TP:28.0, FP:18.0, TN:4.0, FN:0.0, Precesion: 0.61, Recall: 1.0, Accuracy: 0.64, Eidx_Training: 376.39816, Eidx_CV: 67.25847 
C: 1.0,  Sigma: 1.0, TP:25.0, FP:15.0, TN:7.0, FN:3.0, Precesion: 0.63, Recall: 0.89, Accuracy: 0.64, Eidx_Training: 291.83728, Eidx_CV: 57.80568 
C: 1.3,  Sigma: 0.3, TP:24.0, FP:11.0, TN:11.0, FN:4.0, Precesion: 0.69, Recall: 0.86, Accuracy: 0.7, Eidx_Training: 170.48563, Eidx_CV: 38.06387 
C: 1.5,  Sigma: 0.1, TP:28.0, FP:17.0, TN:5.0, FN:0.0, Precesion: 0.62, Recall: 1.0, Accuracy: 0.66, Eidx_Training: 260.76771, Eidx_CV: 60.77703 
C: 1.5,  Sigma: 0.06, TP:28.0, FP:8.0, TN:14.0, FN:0.0, Precesion: 0.78, Recall: 1.0, Accuracy: 0.84, Eidx_Training: 166.79568, Eidx_CV: 41.77401 
C: 1.3,  Sigma: 0.1, TP:28.0, FP:11.0, TN:11.0, FN:0.0, Precesion: 0.72, Recall: 1.0, Accuracy: 0.78, Eidx_Training: 211.12768, Eidx_CV: 50.4579 
C: 1.5,  Sigma: 0.05, TP:28.0, FP:18.0, TN:4.0, FN:0.0, Precesion: 0.61, Recall: 1.0, Accuracy: 0.64, Eidx_Training: 249.08136, Eidx_CV: 57.68738 
C: 1.5,  Sigma: 0.04, TP:28.0, FP:22.0, TN:0.0, FN:0.0, Precesion: 0.56, Recall: 1.0, Accuracy: 0.56, Eidx_Training: 265.00156, Eidx_CV: 60.90402 
C: 1.5,  Sigma: 0.08, TP:28.0, FP:22.0, TN:0.0, FN:0.0, Precesion: 0.56, Recall: 1.0, Accuracy: 0.56, Eidx_Training: 267.41356, Eidx_CV: 61.76373 
C: 1.3,  Sigma: 0.5, TP:24.0, FP:11.0, TN:11.0, FN:4.0, Precesion: 0.69, Recall: 0.86, Accuracy: 0.7, Eidx_Training: 237.56365, Eidx_CV: 46.30036 
C: 1.3,  Sigma: 1.0, TP:20.0, FP:11.0, TN:11.0, FN:8.0, Precesion: 0.65, Recall: 0.71, Accuracy: 0.62, Eidx_Training: 239.03851, Eidx_CV: 51.1357 
C: 1.3,  Sigma: 0.8, TP:22.0, FP:12.0, TN:10.0, FN:6.0, Precesion: 0.65, Recall: 0.79, Accuracy: 0.64, Eidx_Training: 472.13637, Eidx_CV: 95.11456 
C: 1.3,  Sigma: 1.5, TP:27.0, FP:18.0, TN:4.0, FN:1.0, Precesion: 0.6, Recall: 0.96, Accuracy: 0.62, Eidx_Training: 704.52184, Eidx_CV: 127.13168 
C: 1.5,  Sigma: 0.5, TP:18.0, FP:9.0, TN:13.0, FN:10.0, Precesion: 0.67, Recall: 0.64, Accuracy: 0.62, Eidx_Training: 261.31613, Eidx_CV: 50.0901 
