C: 0.7,  Sigma: 0.08, TP:23.0, FP:27.0, TN:0.0, FN:0.0, Precesion: 0.46, Recall: 1.0, Accuracy: 0.46, Eidx_Training: 205.75158, Eidx_CV: 51.45159 
C: 0.7,  Sigma: 0.06, TP:3.0, FP:2.0, TN:25.0, FN:20.0, Precesion: 0.6, Recall: 0.13, Accuracy: 0.56, Eidx_Training: 72.37046, Eidx_CV: 49.1509 
C: 0.8,  Sigma: 0.5, TP:18.0, FP:17.0, TN:10.0, FN:5.0, Precesion: 0.51, Recall: 0.78, Accuracy: 0.56, Eidx_Training: 169.90053, Eidx_CV: 42.46454 
C: 0.6,  Sigma: 0.5, TP:17.0, FP:9.0, TN:18.0, FN:6.0, Precesion: 0.65, Recall: 0.74, Accuracy: 0.7, Eidx_Training: 138.45821, Eidx_CV: 40.22093 
C: 1.0,  Sigma: 0.8, TP:21.0, FP:16.0, TN:11.0, FN:2.0, Precesion: 0.57, Recall: 0.91, Accuracy: 0.64, Eidx_Training: 202.29536, Eidx_CV: 47.87499 
C: 1.0,  Sigma: 0.3, TP:23.0, FP:27.0, TN:0.0, FN:0.0, Precesion: 0.46, Recall: 1.0, Accuracy: 0.46, Eidx_Training: 260.29929, Eidx_CV: 52.69002 
C: 0.7,  Sigma: 1.0, TP:15.0, FP:7.0, TN:20.0, FN:8.0, Precesion: 0.68, Recall: 0.65, Accuracy: 0.7, Eidx_Training: 172.6127, Eidx_CV: 33.8593 
C: 1.8,  Sigma: 0.5, TP:23.0, FP:26.0, TN:1.0, FN:0.0, Precesion: 0.47, Recall: 1.0, Accuracy: 0.48, Eidx_Training: 338.30683, Eidx_CV: 69.3309 
C: 4.0,  Sigma: 0.08, TP:23.0, FP:27.0, TN:0.0, FN:0.0, Precesion: 0.46, Recall: 1.0, Accuracy: 0.46, Eidx_Training: 317.06833, Eidx_CV: 59.56971 
C: 1.5,  Sigma: 0.04, TP:23.0, FP:27.0, TN:0.0, FN:0.0, Precesion: 0.46, Recall: 1.0, Accuracy: 0.46, Eidx_Training: 320.57859, Eidx_CV: 60.84006 
C: 0.6,  Sigma: 0.1, TP:22.0, FP:24.0, TN:3.0, FN:1.0, Precesion: 0.48, Recall: 0.96, Accuracy: 0.5, Eidx_Training: 124.90583, Eidx_CV: 49.3478 
C: 4.0,  Sigma: 0.04, TP:23.0, FP:27.0, TN:0.0, FN:0.0, Precesion: 0.46, Recall: 1.0, Accuracy: 0.46, Eidx_Training: 320.57859, Eidx_CV: 60.84006 
C: 3.0,  Sigma: 0.08, TP:23.0, FP:27.0, TN:0.0, FN:0.0, Precesion: 0.46, Recall: 1.0, Accuracy: 0.46, Eidx_Training: 317.06833, Eidx_CV: 59.56971 
C: 1.8,  Sigma: 0.04, TP:23.0, FP:27.0, TN:0.0, FN:0.0, Precesion: 0.46, Recall: 1.0, Accuracy: 0.46, Eidx_Training: 320.57859, Eidx_CV: 60.84006 
C: 4.0,  Sigma: 0.1, TP:23.0, FP:27.0, TN:0.0, FN:0.0, Precesion: 0.46, Recall: 1.0, Accuracy: 0.46, Eidx_Training: 234.23598, Eidx_CV: 51.27 
C: 3.0,  Sigma: 0.04, TP:23.0, FP:27.0, TN:0.0, FN:0.0, Precesion: 0.46, Recall: 1.0, Accuracy: 0.46, Eidx_Training: 320.57859, Eidx_CV: 60.84006 
C: 2.0,  Sigma: 0.04, TP:23.0, FP:27.0, TN:0.0, FN:0.0, Precesion: 0.46, Recall: 1.0, Accuracy: 0.46, Eidx_Training: 320.57859, Eidx_CV: 60.84006 
