C: 0.7,  Sigma: 0.08, TP:1.0, FP:1.0, TN:25.0, FN:23.0, Precesion: 0.5, Recall: 0.04, Accuracy: 0.52, Eidx_Training: 75.754, Eidx_CV: 49.69555 
C: 0.7,  Sigma: 0.06, TP:3.0, FP:1.0, TN:25.0, FN:21.0, Precesion: 0.75, Recall: 0.13, Accuracy: 0.56, Eidx_Training: 71.10491, Eidx_CV: 49.98931 
C: 1.0,  Sigma: 1.5, TP:13.0, FP:9.0, TN:17.0, FN:11.0, Precesion: 0.59, Recall: 0.54, Accuracy: 0.6, Eidx_Training: 246.67227, Eidx_CV: 52.1122 
C: 0.7,  Sigma: 0.1, TP:22.0, FP:25.0, TN:1.0, FN:2.0, Precesion: 0.47, Recall: 0.92, Accuracy: 0.46, Eidx_Training: 60.91207, Eidx_CV: 49.69906 
C: 0.7,  Sigma: 0.3, TP:23.0, FP:19.0, TN:7.0, FN:1.0, Precesion: 0.55, Recall: 0.96, Accuracy: 0.6, Eidx_Training: 130.13759, Eidx_CV: 44.49977 
C: 0.6,  Sigma: 0.3, TP:22.0, FP:15.0, TN:11.0, FN:2.0, Precesion: 0.59, Recall: 0.92, Accuracy: 0.66, Eidx_Training: 110.66244, Eidx_CV: 43.35709 
C: 0.6,  Sigma: 0.1, TP:24.0, FP:26.0, TN:0.0, FN:0.0, Precesion: 0.48, Recall: 1.0, Accuracy: 0.48, Eidx_Training: 106.8503, Eidx_CV: 50.32407 
C: 0.8,  Sigma: 1.0, TP:15.0, FP:9.0, TN:17.0, FN:9.0, Precesion: 0.63, Recall: 0.63, Accuracy: 0.64, Eidx_Training: 199.9859, Eidx_CV: 44.2096 
C: 1.3,  Sigma: 0.8, TP:23.0, FP:22.0, TN:4.0, FN:1.0, Precesion: 0.51, Recall: 0.96, Accuracy: 0.54, Eidx_Training: 215.0086, Eidx_CV: 47.49895 
C: 1.0,  Sigma: 0.3, TP:19.0, FP:12.0, TN:14.0, FN:5.0, Precesion: 0.61, Recall: 0.79, Accuracy: 0.66, Eidx_Training: 77.44441, Eidx_CV: 42.133 
C: 1.3,  Sigma: 0.5, TP:5.0, FP:8.0, TN:18.0, FN:19.0, Precesion: 0.38, Recall: 0.21, Accuracy: 0.46, Eidx_Training: 210.39765, Eidx_CV: 49.63082 
C: 0.7,  Sigma: 0.5, TP:20.0, FP:12.0, TN:14.0, FN:4.0, Precesion: 0.63, Recall: 0.83, Accuracy: 0.68, Eidx_Training: 136.1019, Eidx_CV: 42.95115 
C: 0.6,  Sigma: 0.5, TP:22.0, FP:17.0, TN:9.0, FN:2.0, Precesion: 0.56, Recall: 0.92, Accuracy: 0.62, Eidx_Training: 145.34656, Eidx_CV: 44.20328 
C: 0.7,  Sigma: 1.0, TP:24.0, FP:18.0, TN:8.0, FN:0.0, Precesion: 0.57, Recall: 1.0, Accuracy: 0.64, Eidx_Training: 246.70262, Eidx_CV: 54.53865 
C: 1.3,  Sigma: 2.0, TP:20.0, FP:14.0, TN:12.0, FN:4.0, Precesion: 0.59, Recall: 0.83, Accuracy: 0.64, Eidx_Training: 229.32073, Eidx_CV: 46.51501 
C: 0.8,  Sigma: 0.06, TP:24.0, FP:26.0, TN:0.0, FN:0.0, Precesion: 0.48, Recall: 1.0, Accuracy: 0.48, Eidx_Training: 147.03937, Eidx_CV: 51.33871 
C: 0.8,  Sigma: 0.1, TP:24.0, FP:26.0, TN:0.0, FN:0.0, Precesion: 0.48, Recall: 1.0, Accuracy: 0.48, Eidx_Training: 100.35314, Eidx_CV: 50.42294 
C: 1.0,  Sigma: 0.8, TP:24.0, FP:20.0, TN:6.0, FN:0.0, Precesion: 0.55, Recall: 1.0, Accuracy: 0.6, Eidx_Training: 222.04513, Eidx_CV: 51.62092 
C: 3.0,  Sigma: 0.8, TP:24.0, FP:26.0, TN:0.0, FN:0.0, Precesion: 0.48, Recall: 1.0, Accuracy: 0.48, Eidx_Training: 370.00281, Eidx_CV: 78.0589 
C: 0.8,  Sigma: 0.5, TP:24.0, FP:15.0, TN:11.0, FN:0.0, Precesion: 0.62, Recall: 1.0, Accuracy: 0.7, Eidx_Training: 177.5801, Eidx_CV: 48.36848 
C: 0.8,  Sigma: 0.8, TP:23.0, FP:19.0, TN:7.0, FN:1.0, Precesion: 0.55, Recall: 0.96, Accuracy: 0.6, Eidx_Training: 189.24662, Eidx_CV: 44.5488 
C: 1.3,  Sigma: 0.3, TP:23.0, FP:19.0, TN:7.0, FN:1.0, Precesion: 0.55, Recall: 0.96, Accuracy: 0.6, Eidx_Training: 157.86803, Eidx_CV: 46.52049 
C: 1.8,  Sigma: 0.5, TP:24.0, FP:24.0, TN:2.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.52, Eidx_Training: 322.82476, Eidx_CV: 72.299 
C: 3.0,  Sigma: 0.08, TP:24.0, FP:26.0, TN:0.0, FN:0.0, Precesion: 0.48, Recall: 1.0, Accuracy: 0.48, Eidx_Training: 214.20664, Eidx_CV: 51.86025 
C: 4.0,  Sigma: 0.08, TP:24.0, FP:26.0, TN:0.0, FN:0.0, Precesion: 0.48, Recall: 1.0, Accuracy: 0.48, Eidx_Training: 214.20664, Eidx_CV: 51.86025 
C: 0.8,  Sigma: 2.0, TP:22.0, FP:17.0, TN:9.0, FN:2.0, Precesion: 0.56, Recall: 0.92, Accuracy: 0.62, Eidx_Training: 367.39363, Eidx_CV: 65.91485 
C: 0.7,  Sigma: 0.8, TP:18.0, FP:11.0, TN:15.0, FN:6.0, Precesion: 0.62, Recall: 0.75, Accuracy: 0.66, Eidx_Training: 169.76089, Eidx_CV: 40.51172 
C: 1.5,  Sigma: 0.08, TP:24.0, FP:26.0, TN:0.0, FN:0.0, Precesion: 0.48, Recall: 1.0, Accuracy: 0.48, Eidx_Training: 247.11032, Eidx_CV: 55.45684 
C: 0.6,  Sigma: 1.5, TP:15.0, FP:7.0, TN:19.0, FN:9.0, Precesion: 0.68, Recall: 0.63, Accuracy: 0.68, Eidx_Training: 206.28124, Eidx_CV: 39.12903 
C: 2.0,  Sigma: 0.06, TP:24.0, FP:26.0, TN:0.0, FN:0.0, Precesion: 0.48, Recall: 1.0, Accuracy: 0.48, Eidx_Training: 245.75546, Eidx_CV: 54.94847 
C: 1.3,  Sigma: 0.04, TP:24.0, FP:26.0, TN:0.0, FN:0.0, Precesion: 0.48, Recall: 1.0, Accuracy: 0.48, Eidx_Training: 217.48498, Eidx_CV: 51.89219 
C: 1.3,  Sigma: 0.05, TP:24.0, FP:26.0, TN:0.0, FN:0.0, Precesion: 0.48, Recall: 1.0, Accuracy: 0.48, Eidx_Training: 124.26689, Eidx_CV: 51.1625 
C: 3.0,  Sigma: 0.05, TP:24.0, FP:26.0, TN:0.0, FN:0.0, Precesion: 0.48, Recall: 1.0, Accuracy: 0.48, Eidx_Training: 216.65927, Eidx_CV: 51.91369 
C: 4.0,  Sigma: 0.04, TP:24.0, FP:26.0, TN:0.0, FN:0.0, Precesion: 0.48, Recall: 1.0, Accuracy: 0.48, Eidx_Training: 252.99515, Eidx_CV: 56.32679 
C: 1.8,  Sigma: 0.05, TP:24.0, FP:26.0, TN:0.0, FN:0.0, Precesion: 0.48, Recall: 1.0, Accuracy: 0.48, Eidx_Training: 216.65927, Eidx_CV: 51.91369 
C: 1.8,  Sigma: 0.04, TP:24.0, FP:26.0, TN:0.0, FN:0.0, Precesion: 0.48, Recall: 1.0, Accuracy: 0.48, Eidx_Training: 252.99515, Eidx_CV: 56.32679 
C: 3.0,  Sigma: 0.1, TP:24.0, FP:26.0, TN:0.0, FN:0.0, Precesion: 0.48, Recall: 1.0, Accuracy: 0.48, Eidx_Training: 119.39483, Eidx_CV: 50.01114 
C: 3.0,  Sigma: 0.06, TP:24.0, FP:26.0, TN:0.0, FN:0.0, Precesion: 0.48, Recall: 1.0, Accuracy: 0.48, Eidx_Training: 245.75546, Eidx_CV: 54.94847 
C: 1.8,  Sigma: 0.06, TP:24.0, FP:26.0, TN:0.0, FN:0.0, Precesion: 0.48, Recall: 1.0, Accuracy: 0.48, Eidx_Training: 245.75546, Eidx_CV: 54.94847 
C: 4.0,  Sigma: 0.1, TP:24.0, FP:26.0, TN:0.0, FN:0.0, Precesion: 0.48, Recall: 1.0, Accuracy: 0.48, Eidx_Training: 119.39483, Eidx_CV: 50.01114 
C: 2.0,  Sigma: 0.04, TP:24.0, FP:26.0, TN:0.0, FN:0.0, Precesion: 0.48, Recall: 1.0, Accuracy: 0.48, Eidx_Training: 252.99515, Eidx_CV: 56.32679 
C: 4.0,  Sigma: 0.06, TP:24.0, FP:26.0, TN:0.0, FN:0.0, Precesion: 0.48, Recall: 1.0, Accuracy: 0.48, Eidx_Training: 245.75546, Eidx_CV: 54.94847 
C: 2.0,  Sigma: 0.05, TP:24.0, FP:26.0, TN:0.0, FN:0.0, Precesion: 0.48, Recall: 1.0, Accuracy: 0.48, Eidx_Training: 216.65927, Eidx_CV: 51.91369 
