C: 1.3,  Sigma: 2.0, TP:11.0, FP:7.0, TN:24.0, FN:8.0, Precesion: 0.61, Recall: 0.58, Accuracy: 0.7, Eidx_Training: 241.99165, Eidx_CV: 44.78111 
C: 0.7,  Sigma: 0.06, TP:2.0, FP:1.0, TN:30.0, FN:17.0, Precesion: 0.67, Recall: 0.11, Accuracy: 0.64, Eidx_Training: 73.09115, Eidx_CV: 49.97492 
C: 0.7,  Sigma: 0.08, TP:19.0, FP:29.0, TN:2.0, FN:0.0, Precesion: 0.4, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 85.30701, Eidx_CV: 51.07393 
C: 0.7,  Sigma: 0.1, TP:1.0, FP:1.0, TN:30.0, FN:18.0, Precesion: 0.5, Recall: 0.05, Accuracy: 0.62, Eidx_Training: 60.95282, Eidx_CV: 47.57725 
C: 0.6,  Sigma: 0.3, TP:15.0, FP:22.0, TN:9.0, FN:4.0, Precesion: 0.41, Recall: 0.79, Accuracy: 0.48, Eidx_Training: 142.64698, Eidx_CV: 47.99434 
C: 1.8,  Sigma: 2.0, TP:4.0, FP:2.0, TN:29.0, FN:15.0, Precesion: 0.67, Recall: 0.21, Accuracy: 0.66, Eidx_Training: 199.21131, Eidx_CV: 44.46951 
C: 1.0,  Sigma: 0.3, TP:18.0, FP:27.0, TN:4.0, FN:1.0, Precesion: 0.4, Recall: 0.95, Accuracy: 0.44, Eidx_Training: 211.08116, Eidx_CV: 54.99823 
C: 0.6,  Sigma: 0.5, TP:12.0, FP:12.0, TN:19.0, FN:7.0, Precesion: 0.5, Recall: 0.63, Accuracy: 0.62, Eidx_Training: 151.49053, Eidx_CV: 42.73463 
C: 1.5,  Sigma: 1.5, TP:19.0, FP:27.0, TN:4.0, FN:0.0, Precesion: 0.41, Recall: 1.0, Accuracy: 0.46, Eidx_Training: 289.88683, Eidx_CV: 60.08974 
C: 0.7,  Sigma: 0.5, TP:8.0, FP:7.0, TN:24.0, FN:11.0, Precesion: 0.53, Recall: 0.42, Accuracy: 0.64, Eidx_Training: 126.90669, Eidx_CV: 41.21853 
C: 0.8,  Sigma: 0.5, TP:2.0, FP:2.0, TN:29.0, FN:17.0, Precesion: 0.5, Recall: 0.11, Accuracy: 0.62, Eidx_Training: 122.42827, Eidx_CV: 39.06183 
C: 0.7,  Sigma: 0.8, TP:8.0, FP:6.0, TN:25.0, FN:11.0, Precesion: 0.57, Recall: 0.42, Accuracy: 0.66, Eidx_Training: 131.83142, Eidx_CV: 39.24318 
C: 1.5,  Sigma: 1.0, TP:12.0, FP:13.0, TN:18.0, FN:7.0, Precesion: 0.48, Recall: 0.63, Accuracy: 0.6, Eidx_Training: 212.83451, Eidx_CV: 48.3772 
C: 2.0,  Sigma: 0.1, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 301.26587, Eidx_CV: 66.68887 
C: 2.0,  Sigma: 1.0, TP:10.0, FP:9.0, TN:22.0, FN:9.0, Precesion: 0.53, Recall: 0.53, Accuracy: 0.64, Eidx_Training: 192.72413, Eidx_CV: 48.30108 
C: 0.8,  Sigma: 0.3, TP:18.0, FP:28.0, TN:3.0, FN:1.0, Precesion: 0.39, Recall: 0.95, Accuracy: 0.42, Eidx_Training: 202.48145, Eidx_CV: 53.84182 
C: 1.8,  Sigma: 0.3, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 318.64419, Eidx_CV: 67.69703 
C: 0.7,  Sigma: 0.3, TP:18.0, FP:29.0, TN:2.0, FN:1.0, Precesion: 0.38, Recall: 0.95, Accuracy: 0.4, Eidx_Training: 188.89398, Eidx_CV: 53.62151 
C: 2.0,  Sigma: 0.06, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 314.14478, Eidx_CV: 69.10181 
C: 3.0,  Sigma: 0.04, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 244.92303, Eidx_CV: 60.27846 
C: 3.0,  Sigma: 0.1, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 234.33105, Eidx_CV: 59.7227 
C: 1.3,  Sigma: 0.8, TP:12.0, FP:12.0, TN:19.0, FN:7.0, Precesion: 0.5, Recall: 0.63, Accuracy: 0.62, Eidx_Training: 204.48469, Eidx_CV: 48.01584 
C: 2.0,  Sigma: 0.05, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 314.42895, Eidx_CV: 69.11158 
C: 1.8,  Sigma: 0.08, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 229.33777, Eidx_CV: 59.24015 
C: 1.0,  Sigma: 2.0, TP:18.0, FP:27.0, TN:4.0, FN:1.0, Precesion: 0.4, Recall: 0.95, Accuracy: 0.44, Eidx_Training: 349.37867, Eidx_CV: 65.21103 
C: 1.5,  Sigma: 0.05, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 314.57964, Eidx_CV: 69.14156 
C: 2.0,  Sigma: 0.04, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 314.9261, Eidx_CV: 69.15953 
C: 1.5,  Sigma: 0.08, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 312.86911, Eidx_CV: 68.857 
C: 4.0,  Sigma: 0.04, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 244.92303, Eidx_CV: 60.27846 
C: 1.8,  Sigma: 0.06, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 244.6432, Eidx_CV: 60.189 
C: 0.6,  Sigma: 1.0, TP:10.0, FP:7.0, TN:24.0, FN:9.0, Precesion: 0.59, Recall: 0.53, Accuracy: 0.68, Eidx_Training: 169.56327, Eidx_CV: 40.03117 
C: 1.3,  Sigma: 0.06, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 243.21125, Eidx_CV: 60.12141 
C: 3.0,  Sigma: 0.06, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 244.92155, Eidx_CV: 60.20507 
C: 1.3,  Sigma: 0.3, TP:16.0, FP:22.0, TN:9.0, FN:3.0, Precesion: 0.42, Recall: 0.84, Accuracy: 0.5, Eidx_Training: 142.33168, Eidx_CV: 48.90187 
C: 0.7,  Sigma: 1.0, TP:8.0, FP:7.0, TN:24.0, FN:11.0, Precesion: 0.53, Recall: 0.42, Accuracy: 0.64, Eidx_Training: 148.21227, Eidx_CV: 39.89905 
C: 0.8,  Sigma: 0.8, TP:13.0, FP:13.0, TN:18.0, FN:6.0, Precesion: 0.5, Recall: 0.68, Accuracy: 0.62, Eidx_Training: 187.33272, Eidx_CV: 44.90405 
C: 0.6,  Sigma: 0.8, TP:10.0, FP:9.0, TN:22.0, FN:9.0, Precesion: 0.53, Recall: 0.53, Accuracy: 0.64, Eidx_Training: 149.89123, Eidx_CV: 40.84343 
C: 1.3,  Sigma: 0.08, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 314.07248, Eidx_CV: 69.11775 
C: 1.5,  Sigma: 0.04, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 243.87664, Eidx_CV: 60.23286 
C: 3.0,  Sigma: 0.8, TP:14.0, FP:16.0, TN:15.0, FN:5.0, Precesion: 0.47, Recall: 0.74, Accuracy: 0.58, Eidx_Training: 240.12724, Eidx_CV: 57.05364 
C: 4.0,  Sigma: 0.06, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 244.11933, Eidx_CV: 60.1709 
C: 1.0,  Sigma: 1.0, TP:7.0, FP:6.0, TN:25.0, FN:12.0, Precesion: 0.54, Recall: 0.37, Accuracy: 0.64, Eidx_Training: 138.43051, Eidx_CV: 38.7254 
C: 4.0,  Sigma: 1.0, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 383.49689, Eidx_CV: 76.15964 
C: 1.0,  Sigma: 0.5, TP:7.0, FP:7.0, TN:24.0, FN:12.0, Precesion: 0.5, Recall: 0.37, Accuracy: 0.62, Eidx_Training: 100.77393, Eidx_CV: 39.51903 
C: 1.5,  Sigma: 0.1, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 244.27771, Eidx_CV: 60.20499 
C: 1.5,  Sigma: 0.8, TP:10.0, FP:9.0, TN:22.0, FN:9.0, Precesion: 0.53, Recall: 0.53, Accuracy: 0.64, Eidx_Training: 169.31797, Eidx_CV: 43.17336 
C: 1.8,  Sigma: 0.04, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 244.94933, Eidx_CV: 60.28539 
C: 1.3,  Sigma: 1.5, TP:8.0, FP:9.0, TN:22.0, FN:11.0, Precesion: 0.47, Recall: 0.42, Accuracy: 0.6, Eidx_Training: 186.80966, Eidx_CV: 45.20843 
C: 4.0,  Sigma: 0.05, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 244.70755, Eidx_CV: 60.25584 
C: 1.8,  Sigma: 0.05, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 243.38345, Eidx_CV: 60.19613 
C: 1.0,  Sigma: 1.5, TP:8.0, FP:4.0, TN:27.0, FN:11.0, Precesion: 0.67, Recall: 0.42, Accuracy: 0.7, Eidx_Training: 161.70122, Eidx_CV: 37.67757 
C: 1.3,  Sigma: 0.05, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 314.78417, Eidx_CV: 69.18471 
C: 3.0,  Sigma: 0.5, TP:16.0, FP:21.0, TN:10.0, FN:3.0, Precesion: 0.43, Recall: 0.84, Accuracy: 0.52, Eidx_Training: 218.39367, Eidx_CV: 51.85846 
C: 1.3,  Sigma: 0.1, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 310.00785, Eidx_CV: 68.35273 
C: 1.5,  Sigma: 0.06, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 244.4512, Eidx_CV: 60.18342 
C: 3.0,  Sigma: 0.08, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 251.267, Eidx_CV: 60.53137 
C: 4.0,  Sigma: 0.1, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 278.6978, Eidx_CV: 62.62002 
C: 4.0,  Sigma: 0.08, TP:19.0, FP:30.0, TN:1.0, FN:0.0, Precesion: 0.39, Recall: 1.0, Accuracy: 0.4, Eidx_Training: 161.8431, Eidx_CV: 55.91316 
C: 2.0,  Sigma: 0.08, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 245.43255, Eidx_CV: 60.17344 
C: 1.8,  Sigma: 1.0, TP:8.0, FP:6.0, TN:25.0, FN:11.0, Precesion: 0.57, Recall: 0.42, Accuracy: 0.66, Eidx_Training: 136.58983, Eidx_CV: 43.00257 
C: 1.5,  Sigma: 0.5, TP:9.0, FP:7.0, TN:24.0, FN:10.0, Precesion: 0.56, Recall: 0.47, Accuracy: 0.66, Eidx_Training: 103.93265, Eidx_CV: 40.80399 
C: 3.0,  Sigma: 0.3, TP:17.0, FP:26.0, TN:5.0, FN:2.0, Precesion: 0.4, Recall: 0.89, Accuracy: 0.44, Eidx_Training: 207.67432, Eidx_CV: 56.51107 
C: 1.8,  Sigma: 0.5, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 381.0795, Eidx_CV: 78.03816 
C: 1.3,  Sigma: 0.04, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 243.75719, Eidx_CV: 60.22682 
C: 0.7,  Sigma: 1.5, TP:7.0, FP:3.0, TN:28.0, FN:12.0, Precesion: 0.7, Recall: 0.37, Accuracy: 0.7, Eidx_Training: 168.17164, Eidx_CV: 39.46946 
C: 2.0,  Sigma: 0.3, TP:13.0, FP:15.0, TN:16.0, FN:6.0, Precesion: 0.46, Recall: 0.68, Accuracy: 0.58, Eidx_Training: 107.25889, Eidx_CV: 46.92949 
C: 1.3,  Sigma: 0.5, TP:18.0, FP:30.0, TN:1.0, FN:1.0, Precesion: 0.38, Recall: 0.95, Accuracy: 0.38, Eidx_Training: 281.27338, Eidx_CV: 60.41482 
C: 2.0,  Sigma: 2.0, TP:5.0, FP:3.0, TN:28.0, FN:14.0, Precesion: 0.63, Recall: 0.26, Accuracy: 0.66, Eidx_Training: 166.57959, Eidx_CV: 40.86323 
C: 3.0,  Sigma: 0.05, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 244.96751, Eidx_CV: 60.27244 
C: 0.8,  Sigma: 1.0, TP:12.0, FP:11.0, TN:20.0, FN:7.0, Precesion: 0.52, Recall: 0.63, Accuracy: 0.64, Eidx_Training: 185.0975, Eidx_CV: 43.11661 
C: 1.0,  Sigma: 0.1, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 215.27581, Eidx_CV: 58.41681 
C: 1.0,  Sigma: 0.8, TP:9.0, FP:7.0, TN:24.0, FN:10.0, Precesion: 0.56, Recall: 0.47, Accuracy: 0.66, Eidx_Training: 139.91807, Eidx_CV: 40.66485 
C: 1.8,  Sigma: 0.1, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 245.26147, Eidx_CV: 60.28526 
C: 0.8,  Sigma: 0.1, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 185.97136, Eidx_CV: 57.24271 
C: 0.8,  Sigma: 1.5, TP:8.0, FP:5.0, TN:26.0, FN:11.0, Precesion: 0.62, Recall: 0.42, Accuracy: 0.68, Eidx_Training: 163.20558, Eidx_CV: 37.12698 
C: 0.6,  Sigma: 0.1, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 141.57295, Eidx_CV: 54.76237 
C: 0.6,  Sigma: 2.0, TP:6.0, FP:2.0, TN:29.0, FN:13.0, Precesion: 0.75, Recall: 0.32, Accuracy: 0.7, Eidx_Training: 187.81009, Eidx_CV: 37.77699 
C: 0.7,  Sigma: 2.0, TP:6.0, FP:2.0, TN:29.0, FN:13.0, Precesion: 0.75, Recall: 0.32, Accuracy: 0.7, Eidx_Training: 201.15907, Eidx_CV: 38.50693 
C: 2.0,  Sigma: 0.5, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 409.31242, Eidx_CV: 84.16458 
C: 0.6,  Sigma: 1.5, TP:6.0, FP:4.0, TN:27.0, FN:13.0, Precesion: 0.6, Recall: 0.32, Accuracy: 0.66, Eidx_Training: 216.15605, Eidx_CV: 38.89886 
C: 0.8,  Sigma: 2.0, TP:4.0, FP:1.0, TN:30.0, FN:15.0, Precesion: 0.8, Recall: 0.21, Accuracy: 0.68, Eidx_Training: 184.30886, Eidx_CV: 41.34331 
C: 4.0,  Sigma: 0.5, TP:16.0, FP:23.0, TN:8.0, FN:3.0, Precesion: 0.41, Recall: 0.84, Accuracy: 0.48, Eidx_Training: 225.70775, Eidx_CV: 54.59648 
C: 4.0,  Sigma: 0.3, TP:18.0, FP:29.0, TN:2.0, FN:1.0, Precesion: 0.38, Recall: 0.95, Accuracy: 0.4, Eidx_Training: 300.01132, Eidx_CV: 68.49261 
C: 1.5,  Sigma: 0.3, TP:18.0, FP:30.0, TN:1.0, FN:1.0, Precesion: 0.38, Recall: 0.95, Accuracy: 0.38, Eidx_Training: 285.18561, Eidx_CV: 61.70112 
C: 1.5,  Sigma: 2.0, TP:4.0, FP:2.0, TN:29.0, FN:15.0, Precesion: 0.67, Recall: 0.21, Accuracy: 0.66, Eidx_Training: 483.03232, Eidx_CV: 64.82215 
C: 1.3,  Sigma: 1.0, TP:11.0, FP:10.0, TN:21.0, FN:8.0, Precesion: 0.52, Recall: 0.58, Accuracy: 0.64, Eidx_Training: 186.0725, Eidx_CV: 45.96759 
C: 1.8,  Sigma: 0.8, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 341.38677, Eidx_CV: 71.9998 
C: 0.8,  Sigma: 0.06, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 184.75651, Eidx_CV: 57.39396 
C: 2.0,  Sigma: 0.8, TP:7.0, FP:6.0, TN:25.0, FN:12.0, Precesion: 0.54, Recall: 0.37, Accuracy: 0.64, Eidx_Training: 123.87954, Eidx_CV: 40.89539 
C: 1.8,  Sigma: 1.5, TP:13.0, FP:18.0, TN:13.0, FN:6.0, Precesion: 0.42, Recall: 0.68, Accuracy: 0.52, Eidx_Training: 307.99521, Eidx_CV: 56.12026 
C: 3.0,  Sigma: 2.0, TP:9.0, FP:10.0, TN:21.0, FN:10.0, Precesion: 0.47, Recall: 0.47, Accuracy: 0.6, Eidx_Training: 277.74584, Eidx_CV: 52.1246 
C: 2.0,  Sigma: 1.5, TP:13.0, FP:14.0, TN:17.0, FN:6.0, Precesion: 0.48, Recall: 0.68, Accuracy: 0.6, Eidx_Training: 199.47028, Eidx_CV: 50.29045 
C: 0.6,  Sigma: 0.05, TP:0.0, FP:0.0, TN:31.0, FN:19.0, Precesion: 0, Recall: 0.0, Accuracy: 0.62, Eidx_Training: 126.20321, Eidx_CV: 46.27323 
C: 0.6,  Sigma: 0.08, TP:0.0, FP:0.0, TN:31.0, FN:19.0, Precesion: 0, Recall: 0.0, Accuracy: 0.62, Eidx_Training: 127.92411, Eidx_CV: 45.51595 
C: 0.6,  Sigma: 0.06, TP:19.0, FP:30.0, TN:1.0, FN:0.0, Precesion: 0.39, Recall: 1.0, Accuracy: 0.4, Eidx_Training: 124.2635, Eidx_CV: 51.92106 
C: 0.6,  Sigma: 0.04, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 127.8751, Eidx_CV: 51.49601 
C: 4.0,  Sigma: 2.0, TP:4.0, FP:3.0, TN:28.0, FN:15.0, Precesion: 0.57, Recall: 0.21, Accuracy: 0.64, Eidx_Training: 314.87514, Eidx_CV: 49.64863 
C: 3.0,  Sigma: 1.5, TP:7.0, FP:8.0, TN:23.0, FN:12.0, Precesion: 0.47, Recall: 0.37, Accuracy: 0.6, Eidx_Training: 373.7291, Eidx_CV: 47.51693 
C: 4.0,  Sigma: 1.5, TP:13.0, FP:13.0, TN:18.0, FN:6.0, Precesion: 0.5, Recall: 0.68, Accuracy: 0.62, Eidx_Training: 468.74288, Eidx_CV: 58.09957 
C: 0.7,  Sigma: 0.05, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 120.45547, Eidx_CV: 53.16148 
C: 0.7,  Sigma: 0.04, TP:19.0, FP:31.0, TN:0.0, FN:0.0, Precesion: 0.38, Recall: 1.0, Accuracy: 0.38, Eidx_Training: 120.37534, Eidx_CV: 55.54022 
C: 3.0,  Sigma: 1.0, TP:15.0, FP:27.0, TN:4.0, FN:4.0, Precesion: 0.36, Recall: 0.79, Accuracy: 0.38, Eidx_Training: 339.0469, Eidx_CV: 61.4343 
C: 0.8,  Sigma: 0.08, TP:1.0, FP:1.0, TN:30.0, FN:18.0, Precesion: 0.5, Recall: 0.05, Accuracy: 0.62, Eidx_Training: 68.29264, Eidx_CV: 48.42908 
