C: 1.0,  Sigma: 0.05, TP:0.0, FP:0.0, TN:29.0, FN:21.0, Precesion: 0, Recall: 0.0, Accuracy: 0.58, Eidx_Training: 36.0, Eidx_CV: 50.00001 
C: 1.0,  Sigma: 0.04, TP:0.0, FP:0.0, TN:29.0, FN:21.0, Precesion: 0, Recall: 0.0, Accuracy: 0.58, Eidx_Training: 36.0, Eidx_CV: 50.0 
C: 0.7,  Sigma: 0.1, TP:20.0, FP:29.0, TN:0.0, FN:1.0, Precesion: 0.41, Recall: 0.95, Accuracy: 0.4, Eidx_Training: 73.84043, Eidx_CV: 50.08792 
C: 0.7,  Sigma: 0.3, TP:2.0, FP:0.0, TN:29.0, FN:19.0, Precesion: 1.0, Recall: 0.1, Accuracy: 0.62, Eidx_Training: 51.67844, Eidx_CV: 48.49829 
C: 0.7,  Sigma: 0.8, TP:13.0, FP:14.0, TN:15.0, FN:8.0, Precesion: 0.48, Recall: 0.62, Accuracy: 0.56, Eidx_Training: 137.15513, Eidx_CV: 48.71734 
C: 0.8,  Sigma: 1.0, TP:9.0, FP:13.0, TN:16.0, FN:12.0, Precesion: 0.41, Recall: 0.43, Accuracy: 0.5, Eidx_Training: 134.5263, Eidx_CV: 43.96097 
C: 1.5,  Sigma: 2.0, TP:20.0, FP:26.0, TN:3.0, FN:1.0, Precesion: 0.43, Recall: 0.95, Accuracy: 0.46, Eidx_Training: 386.96216, Eidx_CV: 76.72736 
C: 0.7,  Sigma: 2.0, TP:3.0, FP:3.0, TN:26.0, FN:18.0, Precesion: 0.5, Recall: 0.14, Accuracy: 0.58, Eidx_Training: 184.63373, Eidx_CV: 51.24914 
C: 1.0,  Sigma: 0.5, TP:18.0, FP:26.0, TN:3.0, FN:3.0, Precesion: 0.41, Recall: 0.86, Accuracy: 0.42, Eidx_Training: 159.31889, Eidx_CV: 51.95769 
C: 1.3,  Sigma: 1.5, TP:11.0, FP:9.0, TN:20.0, FN:10.0, Precesion: 0.55, Recall: 0.52, Accuracy: 0.62, Eidx_Training: 149.04693, Eidx_CV: 43.79637 
C: 1.3,  Sigma: 0.5, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 333.66663, Eidx_CV: 69.45797 
