C: 0.7,  Sigma: 0.08, TP:19.0, FP:24.0, TN:5.0, FN:2.0, Precesion: 0.44, Recall: 0.9, Accuracy: 0.48, Eidx_Training: 72.97134, Eidx_CV: 49.98466 
C: 0.7,  Sigma: 0.5, TP:14.0, FP:15.0, TN:14.0, FN:7.0, Precesion: 0.48, Recall: 0.67, Accuracy: 0.56, Eidx_Training: 129.20495, Eidx_CV: 48.15026 
C: 0.7,  Sigma: 0.1, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 207.20351, Eidx_CV: 55.4735 
C: 0.6,  Sigma: 0.5, TP:11.0, FP:11.0, TN:18.0, FN:10.0, Precesion: 0.5, Recall: 0.52, Accuracy: 0.58, Eidx_Training: 118.5284, Eidx_CV: 45.88565 
C: 0.8,  Sigma: 0.5, TP:5.0, FP:3.0, TN:26.0, FN:16.0, Precesion: 0.63, Recall: 0.24, Accuracy: 0.62, Eidx_Training: 86.44304, Eidx_CV: 44.03828 
C: 0.6,  Sigma: 2.0, TP:4.0, FP:3.0, TN:26.0, FN:17.0, Precesion: 0.57, Recall: 0.19, Accuracy: 0.6, Eidx_Training: 171.04594, Eidx_CV: 46.739 
C: 1.0,  Sigma: 0.5, TP:17.0, FP:24.0, TN:5.0, FN:4.0, Precesion: 0.41, Recall: 0.81, Accuracy: 0.44, Eidx_Training: 202.00214, Eidx_CV: 53.55481 
C: 4.0,  Sigma: 0.8, TP:5.0, FP:4.0, TN:25.0, FN:16.0, Precesion: 0.56, Recall: 0.24, Accuracy: 0.6, Eidx_Training: 185.25477, Eidx_CV: 60.77102 
C: 1.8,  Sigma: 1.5, TP:15.0, FP:16.0, TN:13.0, FN:6.0, Precesion: 0.48, Recall: 0.71, Accuracy: 0.56, Eidx_Training: 245.13807, Eidx_CV: 53.7136 
C: 1.8,  Sigma: 2.0, TP:16.0, FP:16.0, TN:13.0, FN:5.0, Precesion: 0.5, Recall: 0.76, Accuracy: 0.58, Eidx_Training: 229.96773, Eidx_CV: 52.95405 
C: 1.3,  Sigma: 2.0, TP:3.0, FP:2.0, TN:27.0, FN:18.0, Precesion: 0.6, Recall: 0.14, Accuracy: 0.6, Eidx_Training: 179.56592, Eidx_CV: 48.25862 
C: 0.7,  Sigma: 2.0, TP:2.0, FP:1.0, TN:28.0, FN:19.0, Precesion: 0.67, Recall: 0.1, Accuracy: 0.6, Eidx_Training: 196.12087, Eidx_CV: 49.72677 
C: 1.0,  Sigma: 0.3, TP:21.0, FP:28.0, TN:1.0, FN:0.0, Precesion: 0.43, Recall: 1.0, Accuracy: 0.44, Eidx_Training: 249.23474, Eidx_CV: 55.8547 
C: 1.0,  Sigma: 0.8, TP:15.0, FP:19.0, TN:10.0, FN:6.0, Precesion: 0.44, Recall: 0.71, Accuracy: 0.5, Eidx_Training: 220.29776, Eidx_CV: 53.57328 
C: 0.7,  Sigma: 1.0, TP:9.0, FP:7.0, TN:22.0, FN:12.0, Precesion: 0.56, Recall: 0.43, Accuracy: 0.62, Eidx_Training: 127.30274, Eidx_CV: 42.69191 
C: 0.7,  Sigma: 0.8, TP:8.0, FP:6.0, TN:23.0, FN:13.0, Precesion: 0.57, Recall: 0.38, Accuracy: 0.62, Eidx_Training: 115.82821, Eidx_CV: 42.49157 
C: 2.0,  Sigma: 0.8, TP:20.0, FP:24.0, TN:5.0, FN:1.0, Precesion: 0.45, Recall: 0.95, Accuracy: 0.5, Eidx_Training: 328.17605, Eidx_CV: 67.17334 
C: 0.6,  Sigma: 0.3, TP:17.0, FP:22.0, TN:7.0, FN:4.0, Precesion: 0.44, Recall: 0.81, Accuracy: 0.48, Eidx_Training: 126.93171, Eidx_CV: 49.31685 
C: 3.0,  Sigma: 2.0, TP:21.0, FP:24.0, TN:5.0, FN:0.0, Precesion: 0.47, Recall: 1.0, Accuracy: 0.52, Eidx_Training: 364.30918, Eidx_CV: 69.76428 
C: 0.7,  Sigma: 1.5, TP:11.0, FP:5.0, TN:24.0, FN:10.0, Precesion: 0.69, Recall: 0.52, Accuracy: 0.7, Eidx_Training: 143.13404, Eidx_CV: 40.72206 
C: 0.8,  Sigma: 0.3, TP:16.0, FP:16.0, TN:13.0, FN:5.0, Precesion: 0.5, Recall: 0.76, Accuracy: 0.58, Eidx_Training: 91.59526, Eidx_CV: 48.20219 
C: 0.6,  Sigma: 0.8, TP:11.0, FP:9.0, TN:20.0, FN:10.0, Precesion: 0.55, Recall: 0.52, Accuracy: 0.62, Eidx_Training: 131.30959, Eidx_CV: 45.25844 
C: 1.8,  Sigma: 0.08, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.69836, Eidx_CV: 56.80321 
C: 4.0,  Sigma: 0.08, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 244.03443, Eidx_CV: 56.80805 
C: 1.5,  Sigma: 0.06, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.16932, Eidx_CV: 65.3963 
C: 3.0,  Sigma: 0.08, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 244.03443, Eidx_CV: 56.80805 
C: 1.5,  Sigma: 2.0, TP:6.0, FP:2.0, TN:27.0, FN:15.0, Precesion: 0.75, Recall: 0.29, Accuracy: 0.66, Eidx_Training: 168.34136, Eidx_CV: 46.73371 
C: 0.8,  Sigma: 1.0, TP:10.0, FP:6.0, TN:23.0, FN:11.0, Precesion: 0.63, Recall: 0.48, Accuracy: 0.66, Eidx_Training: 126.1899, Eidx_CV: 42.65992 
C: 0.6,  Sigma: 1.5, TP:4.0, FP:3.0, TN:26.0, FN:17.0, Precesion: 0.57, Recall: 0.19, Accuracy: 0.6, Eidx_Training: 158.85219, Eidx_CV: 46.60265 
C: 1.8,  Sigma: 1.0, TP:11.0, FP:12.0, TN:17.0, FN:10.0, Precesion: 0.48, Recall: 0.52, Accuracy: 0.56, Eidx_Training: 139.72391, Eidx_CV: 42.86569 
C: 3.0,  Sigma: 0.04, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.10542, Eidx_CV: 65.3955 
C: 1.3,  Sigma: 0.04, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.10542, Eidx_CV: 65.3955 
C: 1.3,  Sigma: 0.1, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.27256, Eidx_CV: 56.72255 
C: 4.0,  Sigma: 0.06, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.30827, Eidx_CV: 65.42432 
C: 4.0,  Sigma: 0.05, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 315.93641, Eidx_CV: 65.35585 
C: 3.0,  Sigma: 0.1, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.78397, Eidx_CV: 56.72439 
C: 1.8,  Sigma: 0.06, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.30827, Eidx_CV: 65.42432 
C: 1.5,  Sigma: 0.04, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.10542, Eidx_CV: 65.3955 
C: 1.8,  Sigma: 0.05, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 315.93641, Eidx_CV: 65.35585 
C: 1.5,  Sigma: 0.8, TP:20.0, FP:25.0, TN:4.0, FN:1.0, Precesion: 0.44, Recall: 0.95, Accuracy: 0.48, Eidx_Training: 328.93896, Eidx_CV: 65.06198 
C: 1.8,  Sigma: 0.04, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.10542, Eidx_CV: 65.3955 
C: 3.0,  Sigma: 0.06, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.30827, Eidx_CV: 65.42432 
C: 1.3,  Sigma: 0.05, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 293.24827, Eidx_CV: 60.70735 
C: 2.0,  Sigma: 0.05, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 315.93641, Eidx_CV: 65.35585 
C: 2.0,  Sigma: 0.04, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.10542, Eidx_CV: 65.3955 
C: 1.5,  Sigma: 0.05, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 315.93641, Eidx_CV: 65.35585 
C: 2.0,  Sigma: 0.06, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.30827, Eidx_CV: 65.42432 
C: 4.0,  Sigma: 0.04, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.10542, Eidx_CV: 65.3955 
C: 3.0,  Sigma: 0.05, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 315.93641, Eidx_CV: 65.35585 
C: 2.0,  Sigma: 0.08, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.43841, Eidx_CV: 65.39239 
C: 4.0,  Sigma: 0.1, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 244.10476, Eidx_CV: 56.72455 
C: 0.7,  Sigma: 0.3, TP:21.0, FP:26.0, TN:3.0, FN:0.0, Precesion: 0.45, Recall: 1.0, Accuracy: 0.48, Eidx_Training: 165.99592, Eidx_CV: 51.78471 
C: 1.5,  Sigma: 0.08, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.59695, Eidx_CV: 56.80242 
C: 0.8,  Sigma: 0.8, TP:14.0, FP:15.0, TN:14.0, FN:7.0, Precesion: 0.48, Recall: 0.67, Accuracy: 0.56, Eidx_Training: 186.60528, Eidx_CV: 48.36873 
C: 1.3,  Sigma: 0.5, TP:20.0, FP:28.0, TN:1.0, FN:1.0, Precesion: 0.42, Recall: 0.95, Accuracy: 0.42, Eidx_Training: 270.15658, Eidx_CV: 62.26104 
C: 1.5,  Sigma: 0.5, TP:19.0, FP:26.0, TN:3.0, FN:2.0, Precesion: 0.42, Recall: 0.9, Accuracy: 0.44, Eidx_Training: 233.62982, Eidx_CV: 57.8071 
C: 1.8,  Sigma: 0.5, TP:20.0, FP:28.0, TN:1.0, FN:1.0, Precesion: 0.42, Recall: 0.95, Accuracy: 0.42, Eidx_Training: 282.58841, Eidx_CV: 65.28047 
C: 0.8,  Sigma: 1.5, TP:6.0, FP:2.0, TN:27.0, FN:15.0, Precesion: 0.75, Recall: 0.29, Accuracy: 0.66, Eidx_Training: 173.48729, Eidx_CV: 48.10421 
C: 1.0,  Sigma: 1.0, TP:11.0, FP:8.0, TN:21.0, FN:10.0, Precesion: 0.58, Recall: 0.52, Accuracy: 0.64, Eidx_Training: 130.03087, Eidx_CV: 42.94244 
C: 2.0,  Sigma: 0.3, TP:21.0, FP:28.0, TN:1.0, FN:0.0, Precesion: 0.43, Recall: 1.0, Accuracy: 0.44, Eidx_Training: 302.48632, Eidx_CV: 64.17276 
C: 1.3,  Sigma: 0.3, TP:21.0, FP:27.0, TN:2.0, FN:0.0, Precesion: 0.44, Recall: 1.0, Accuracy: 0.46, Eidx_Training: 250.50341, Eidx_CV: 56.58693 
C: 1.3,  Sigma: 0.06, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.16065, Eidx_CV: 65.40482 
C: 0.6,  Sigma: 1.0, TP:13.0, FP:11.0, TN:18.0, FN:8.0, Precesion: 0.54, Recall: 0.62, Accuracy: 0.62, Eidx_Training: 152.13701, Eidx_CV: 43.06193 
C: 3.0,  Sigma: 1.0, TP:9.0, FP:8.0, TN:21.0, FN:12.0, Precesion: 0.53, Recall: 0.43, Accuracy: 0.6, Eidx_Training: 138.24751, Eidx_CV: 51.0998 
C: 4.0,  Sigma: 0.5, TP:20.0, FP:29.0, TN:0.0, FN:1.0, Precesion: 0.41, Recall: 0.95, Accuracy: 0.4, Eidx_Training: 373.80204, Eidx_CV: 82.70778 
C: 2.0,  Sigma: 0.1, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 244.11962, Eidx_CV: 56.75152 
C: 2.0,  Sigma: 0.5, TP:13.0, FP:13.0, TN:16.0, FN:8.0, Precesion: 0.5, Recall: 0.62, Accuracy: 0.58, Eidx_Training: 85.14601, Eidx_CV: 47.39752 
C: 1.3,  Sigma: 0.8, TP:17.0, FP:16.0, TN:13.0, FN:4.0, Precesion: 0.52, Recall: 0.81, Accuracy: 0.6, Eidx_Training: 203.01677, Eidx_CV: 49.57427 
C: 3.0,  Sigma: 0.3, TP:21.0, FP:26.0, TN:3.0, FN:0.0, Precesion: 0.45, Recall: 1.0, Accuracy: 0.48, Eidx_Training: 237.7692, Eidx_CV: 55.30343 
C: 1.3,  Sigma: 0.08, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 243.42384, Eidx_CV: 56.79779 
C: 1.5,  Sigma: 0.3, TP:17.0, FP:21.0, TN:8.0, FN:4.0, Precesion: 0.45, Recall: 0.81, Accuracy: 0.5, Eidx_Training: 111.19064, Eidx_CV: 48.06981 
C: 1.5,  Sigma: 0.1, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 316.37588, Eidx_CV: 65.28555 
C: 1.0,  Sigma: 1.5, TP:12.0, FP:15.0, TN:14.0, FN:9.0, Precesion: 0.44, Recall: 0.57, Accuracy: 0.52, Eidx_Training: 179.68793, Eidx_CV: 47.51441 
C: 4.0,  Sigma: 1.0, TP:21.0, FP:29.0, TN:0.0, FN:0.0, Precesion: 0.42, Recall: 1.0, Accuracy: 0.42, Eidx_Training: 719.29904, Eidx_CV: 137.47979 
C: 0.8,  Sigma: 2.0, TP:3.0, FP:1.0, TN:28.0, FN:18.0, Precesion: 0.75, Recall: 0.14, Accuracy: 0.62, Eidx_Training: 234.38473, Eidx_CV: 58.65783 
