C: 0.7,  Sigma: 0.06, TP:20.0, FP:30.0, TN:0.0, FN:0.0, Precesion: 0.4, Recall: 1.0, Accuracy: 0.4, Eidx_Training: 205.88292, Eidx_CV: 55.8021 
C: 0.7,  Sigma: 0.1, TP:14.0, FP:16.0, TN:14.0, FN:6.0, Precesion: 0.47, Recall: 0.7, Accuracy: 0.56, Eidx_Training: 64.98477, Eidx_CV: 46.78738 
C: 0.7,  Sigma: 2.0, TP:14.0, FP:13.0, TN:17.0, FN:6.0, Precesion: 0.52, Recall: 0.7, Accuracy: 0.62, Eidx_Training: 209.4372, Eidx_CV: 47.16148 
C: 0.7,  Sigma: 0.05, TP:1.0, FP:3.0, TN:27.0, FN:19.0, Precesion: 0.25, Recall: 0.05, Accuracy: 0.56, Eidx_Training: 72.32072, Eidx_CV: 49.09084 
C: 0.7,  Sigma: 0.5, TP:14.0, FP:14.0, TN:16.0, FN:6.0, Precesion: 0.5, Recall: 0.7, Accuracy: 0.6, Eidx_Training: 147.99897, Eidx_CV: 49.80426 
C: 0.7,  Sigma: 0.08, TP:18.0, FP:17.0, TN:13.0, FN:2.0, Precesion: 0.51, Recall: 0.9, Accuracy: 0.62, Eidx_Training: 67.88098, Eidx_CV: 47.89127 
C: 0.6,  Sigma: 0.8, TP:10.0, FP:13.0, TN:17.0, FN:10.0, Precesion: 0.43, Recall: 0.5, Accuracy: 0.54, Eidx_Training: 175.04414, Eidx_CV: 49.7282 
C: 0.6,  Sigma: 0.3, TP:16.0, FP:21.0, TN:9.0, FN:4.0, Precesion: 0.43, Recall: 0.8, Accuracy: 0.5, Eidx_Training: 162.53677, Eidx_CV: 52.16586 
C: 0.8,  Sigma: 0.3, TP:16.0, FP:19.0, TN:11.0, FN:4.0, Precesion: 0.46, Recall: 0.8, Accuracy: 0.54, Eidx_Training: 156.73246, Eidx_CV: 51.24975 
C: 1.0,  Sigma: 0.8, TP:9.0, FP:10.0, TN:20.0, FN:11.0, Precesion: 0.47, Recall: 0.45, Accuracy: 0.58, Eidx_Training: 149.39939, Eidx_CV: 50.062 
C: 1.0,  Sigma: 0.3, TP:4.0, FP:6.0, TN:24.0, FN:16.0, Precesion: 0.4, Recall: 0.2, Accuracy: 0.56, Eidx_Training: 163.92348, Eidx_CV: 47.43429 
C: 1.0,  Sigma: 1.0, TP:8.0, FP:13.0, TN:17.0, FN:12.0, Precesion: 0.38, Recall: 0.4, Accuracy: 0.5, Eidx_Training: 173.06705, Eidx_CV: 49.66376 
C: 0.7,  Sigma: 0.3, TP:14.0, FP:18.0, TN:12.0, FN:6.0, Precesion: 0.44, Recall: 0.7, Accuracy: 0.52, Eidx_Training: 125.68941, Eidx_CV: 49.56538 
C: 0.6,  Sigma: 1.5, TP:8.0, FP:8.0, TN:22.0, FN:12.0, Precesion: 0.5, Recall: 0.4, Accuracy: 0.6, Eidx_Training: 170.47637, Eidx_CV: 42.1449 
C: 0.8,  Sigma: 0.5, TP:9.0, FP:10.0, TN:20.0, FN:11.0, Precesion: 0.47, Recall: 0.45, Accuracy: 0.58, Eidx_Training: 121.05547, Eidx_CV: 47.92541 
C: 1.0,  Sigma: 2.0, TP:9.0, FP:9.0, TN:21.0, FN:11.0, Precesion: 0.5, Recall: 0.45, Accuracy: 0.6, Eidx_Training: 178.53656, Eidx_CV: 44.37629 
C: 0.8,  Sigma: 0.1, TP:20.0, FP:30.0, TN:0.0, FN:0.0, Precesion: 0.4, Recall: 1.0, Accuracy: 0.4, Eidx_Training: 195.69905, Eidx_CV: 54.18111 
C: 1.8,  Sigma: 0.5, TP:16.0, FP:20.0, TN:10.0, FN:4.0, Precesion: 0.44, Recall: 0.8, Accuracy: 0.52, Eidx_Training: 175.447, Eidx_CV: 57.09223 
