C,Sigma,TP,FP,TN,FN,Pre,Re,Acc,ET,EC
C: 0.7,  Sigma: 0.05, TP:28.0, FP:0.0, TN:20.0, FN:2.0, Precesion: 1.0, Recall: 0.93, Accuracy: 0.96, Eidx_Training: 76.10609, Eidx_CV: 20.12741 
C: 0.7,  Sigma: 0.04, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 65.69226, Eidx_CV: 17.44606 
C: 0.6,  Sigma: 0.05, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 108.52415, Eidx_CV: 24.4554 
C: 0.6,  Sigma: 0.04, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 102.62527, Eidx_CV: 25.17137 
C: 0.8,  Sigma: 0.04, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 129.31013, Eidx_CV: 29.33886 
C: 0.8,  Sigma: 0.05, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 81.68035, Eidx_CV: 21.58445 
C: 1.0,  Sigma: 0.05, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 183.5163, Eidx_CV: 39.79959 
C: 1.0,  Sigma: 0.04, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 180.44995, Eidx_CV: 39.73394 
C: 1.3,  Sigma: 0.05, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 175.54288, Eidx_CV: 39.22252 
C: 1.5,  Sigma: 0.06, TP:30.0, FP:5.0, TN:15.0, FN:0.0, Precesion: 0.86, Recall: 1.0, Accuracy: 0.9, Eidx_Training: 200.09802, Eidx_CV: 42.57392 
