C: 0.7,  Sigma: 0.06, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 155.99689, Eidx_CV: 50.25394 
C: 0.7,  Sigma: 0.08, TP:4.0, FP:7.0, TN:18.0, FN:21.0, Precesion: 0.36, Recall: 0.16, Accuracy: 0.44, Eidx_Training: 70.41821, Eidx_CV: 50.71821 
C: 0.6,  Sigma: 0.3, TP:18.0, FP:19.0, TN:6.0, FN:7.0, Precesion: 0.49, Recall: 0.72, Accuracy: 0.48, Eidx_Training: 114.33137, Eidx_CV: 50.18466 
C: 0.8,  Sigma: 0.1, TP:25.0, FP:25.0, TN:0.0, FN:0.0, Precesion: 0.5, Recall: 1.0, Accuracy: 0.5, Eidx_Training: 179.99315, Eidx_CV: 51.18219 
C: 0.7,  Sigma: 0.1, TP:23.0, FP:23.0, TN:2.0, FN:2.0, Precesion: 0.5, Recall: 0.92, Accuracy: 0.5, Eidx_Training: 68.50905, Eidx_CV: 51.1563 
C: 1.3,  Sigma: 0.8, TP:17.0, FP:19.0, TN:6.0, FN:8.0, Precesion: 0.47, Recall: 0.68, Accuracy: 0.46, Eidx_Training: 206.03209, Eidx_CV: 66.76151 
C: 0.7,  Sigma: 1.5, TP:15.0, FP:12.0, TN:13.0, FN:10.0, Precesion: 0.56, Recall: 0.6, Accuracy: 0.56, Eidx_Training: 192.31991, Eidx_CV: 48.66001 
C: 1.3,  Sigma: 1.5, TP:18.0, FP:15.0, TN:10.0, FN:7.0, Precesion: 0.55, Recall: 0.72, Accuracy: 0.56, Eidx_Training: 210.75167, Eidx_CV: 58.54155 
C: 1.8,  Sigma: 0.5, TP:22.0, FP:24.0, TN:1.0, FN:3.0, Precesion: 0.48, Recall: 0.88, Accuracy: 0.46, Eidx_Training: 265.09034, Eidx_CV: 72.9688 
C: 0.7,  Sigma: 0.5, TP:21.0, FP:20.0, TN:5.0, FN:4.0, Precesion: 0.51, Recall: 0.84, Accuracy: 0.52, Eidx_Training: 135.21884, Eidx_CV: 49.49664 
C: 0.8,  Sigma: 1.0, TP:16.0, FP:15.0, TN:10.0, FN:9.0, Precesion: 0.52, Recall: 0.64, Accuracy: 0.52, Eidx_Training: 167.49608, Eidx_CV: 50.88231 
