C: 0.7,  Sigma: 0.04, TP:27.0, FP:23.0, TN:0.0, FN:0.0, Precesion: 0.54, Recall: 1.0, Accuracy: 0.54, Eidx_Training: 197.72265, Eidx_CV: 46.44739 
C: 0.7,  Sigma: 0.05, TP:20.0, FP:19.0, TN:4.0, FN:7.0, Precesion: 0.51, Recall: 0.74, Accuracy: 0.48, Eidx_Training: 68.92813, Eidx_CV: 49.15749 
C: 0.7,  Sigma: 0.06, TP:3.0, FP:6.0, TN:17.0, FN:24.0, Precesion: 0.33, Recall: 0.11, Accuracy: 0.4, Eidx_Training: 68.21099, Eidx_CV: 48.70625 
C: 0.7,  Sigma: 0.3, TP:12.0, FP:13.0, TN:10.0, FN:15.0, Precesion: 0.48, Recall: 0.44, Accuracy: 0.44, Eidx_Training: 125.15835, Eidx_CV: 48.60019 
C: 0.6,  Sigma: 0.1, TP:26.0, FP:22.0, TN:1.0, FN:1.0, Precesion: 0.54, Recall: 0.96, Accuracy: 0.54, Eidx_Training: 142.41154, Eidx_CV: 49.76993 
C: 1.5,  Sigma: 1.0, TP:26.0, FP:16.0, TN:7.0, FN:1.0, Precesion: 0.62, Recall: 0.96, Accuracy: 0.66, Eidx_Training: 266.68204, Eidx_CV: 45.43008 
C: 0.6,  Sigma: 0.3, TP:23.0, FP:17.0, TN:6.0, FN:4.0, Precesion: 0.57, Recall: 0.85, Accuracy: 0.58, Eidx_Training: 167.42169, Eidx_CV: 46.89737 
C: 0.8,  Sigma: 0.3, TP:20.0, FP:17.0, TN:6.0, FN:7.0, Precesion: 0.54, Recall: 0.74, Accuracy: 0.52, Eidx_Training: 155.80203, Eidx_CV: 48.44123 
C: 1.5,  Sigma: 0.8, TP:4.0, FP:3.0, TN:20.0, FN:23.0, Precesion: 0.57, Recall: 0.15, Accuracy: 0.48, Eidx_Training: 219.77897, Eidx_CV: 59.43356 
C: 1.0,  Sigma: 0.3, TP:23.0, FP:20.0, TN:3.0, FN:4.0, Precesion: 0.53, Recall: 0.85, Accuracy: 0.52, Eidx_Training: 204.75256, Eidx_CV: 50.84219 
C: 0.6,  Sigma: 0.8, TP:11.0, FP:11.0, TN:12.0, FN:16.0, Precesion: 0.5, Recall: 0.41, Accuracy: 0.46, Eidx_Training: 193.70941, Eidx_CV: 52.2249 
C: 2.0,  Sigma: 0.8, TP:22.0, FP:20.0, TN:3.0, FN:5.0, Precesion: 0.52, Recall: 0.81, Accuracy: 0.5, Eidx_Training: 313.67204, Eidx_CV: 63.55257 
