quote_time,id_tb_StockXPeriodRecords,stock_code,open_price,high_price,low_price,close_price,period,trading_volumn,Capital,PE_TTM,PB,open_price-Order2,high_price-Order2,low_price-Order2,close_price-Order2,trading_volumn-Order2,Capital-Order2,PE_TTM-Order2,PB-Order2,Label
2017-06-09,2856,sh600221,3.24,3.26,3.26,3.23,day,563336.0,1319.69,-62.962962963,1.0487012987,10.4976,10.6276,10.6276,10.4329,3.17347448896e+11,1741581.6961,3964.33470508,1.0997744139,up
2017-06-06,2853,sh600221,3.2,3.2,3.21,3.18,day,255189.0,-1150.34,-61.9883040936,1.03246753247,10.24,10.24,10.3041,10.1124,65121425721.0,1323282.1156,3842.5498444,1.0659892056,0.015600940442479592
2017-06-02,2851,sh600221,3.25,3.24,3.25,3.21,day,495830.0,-2489.29,-62.5730994152,1.04220779221,10.5625,10.4976,10.5625,10.3041,2.458473889e+11,6196564.7041,3915.39277043,1.08619708214,-0.009389740349838919
2017-05-31,2843,sh600221,3.24,3.23,3.26,3.22,day,396553.0,1189.96,-62.7680311891,1.04545454545,10.4976,10.4329,10.6276,10.3684,1.57254281809e+11,1416004.8016,3939.82573935,1.09297520661,-0.0031104224143925024
2017-05-26,2842,sh600221,3.2,3.23,3.28,3.19,day,746864.0,3091.72,-62.1832358674,1.03571428571,10.24,10.4329,10.7584,10.1761,5.57805834496e+11,9558732.5584,3866.75482295,1.07270408163,0.009360442759563893
2017-05-25,2841,sh600221,3.15,3.2,3.2,3.13,day,576212.0,2049.53,-61.0136452242,1.01623376623,9.9225,10.24,10.24,9.7969,3.32020268944e+11,4200573.2209,3722.66490354,1.03273106763,0.01898791224469138
2017-05-24,2840,sh600221,3.15,3.15,3.16,3.13,day,301218.0,-1356.43,-61.0136452242,1.01623376623,9.9225,9.9225,9.9856,9.7969,90732283524.0,1839902.3449,3722.66490354,1.03273106763,0.0
2017-05-23,2839,sh600221,3.17,3.15,3.18,3.15,day,265001.0,-1072.44,-61.4035087719,1.02272727273,10.0489,9.9225,10.1124,9.9225,70225530001.0,1150127.5536,3770.3908895,1.04597107438,-0.006369448285479823
2017-05-22,2838,sh600221,3.18,3.17,3.19,3.16,day,290025.0,-186.49,-61.5984405458,1.02597402597,10.1124,10.0489,10.1761,9.9856,84114500625.0,34778.5201,3794.36787768,1.05262270197,-0.0031695747612791787
2017-05-19,2837,sh600221,3.19,3.17,3.2,3.16,day,501681.0,-2008.04,-61.5984405458,1.02597402597,10.1761,10.0489,10.24,9.9856,2.51683825761e+11,4032224.6416,3794.36787768,1.05262270197,0.0
2017-05-18,2836,sh600221,3.22,3.19,3.23,3.18,day,309448.0,-3517.56,-61.9883040936,1.03246753247,10.3684,10.1761,10.4329,10.1124,95758064704.0,12373228.3536,3842.5498444,1.0659892056,-0.006309169193264721
2017-05-17,2835,sh600221,3.22,3.23,3.25,3.22,day,370711.0,-543.83,-62.7680311891,1.04545454545,10.3684,10.4329,10.5625,10.3684,1.37426645521e+11,295751.0689,3939.82573935,1.09297520661,-0.012500162764231494
2017-05-16,2834,sh600221,3.19,3.23,3.23,3.17,day,420243.0,2480.6,-61.7933723197,1.02922077922,10.1761,10.4329,10.4329,10.0489,1.76604179049e+11,6153376.36,3818.42086264,1.05929541238,0.015649771667127815
