quote_time,nor_close_price,nor_trading_volumn,nor_Capital,nor_PE_TTM,nor_PB
2017-6-2,-0.510956363,-0.583069372,-0.449711664,2.286878678,-1.392765341
2017-5-31,-0.410190068,-0.742030785,0.130119575,2.304005863,-1.34859686
2017-5-26,-0.712488953,-0.181116055,0.429827357,2.252624308,-1.481102303
2017-5-25,-1.317086721,-0.454362457,0.26558347,2.149861196,-1.74611319
2017-5-24,-1.317086721,-0.894680305,-0.271178643,2.149861196,-1.74611319
2017-5-23,-1.115554132,-0.95267063,-0.226423252,2.184115567,-1.657776227
2017-5-22,-1.014787837,-0.912602433,-0.086802001,2.201242752,-1.613607746
2017-5-19,-1.014787837,-0.573700805,-0.373869092,2.201242752,-1.613607746
2017-5-18,-0.813255247,-0.881502505,-0.611761829,2.235497123,-1.525270784
2017-5-17,-0.410190068,-0.783408756,-0.143116983,2.304005863,-1.34859686
2017-5-16,-0.914021542,-0.704098576,0.333517928,2.218369937,-1.569439265
2017-5-15,-0.813255247,-0.739050969,-0.575340059,2.235497123,-1.525270784
2017-5-12,-0.914021542,-0.744544655,0.108054705,2.218369937,-1.569439265
2017-5-11,-1.317086721,-0.440251163,-0.188397165,2.149861196,-1.74611319
2017-5-10,-0.510956363,-0.603311625,-0.920865422,2.286878678,-1.392765341
2017-5-9,-0.309423774,-0.806584391,0.323288439,2.321133049,-1.304428378
2017-5-8,-0.208657479,-0.750613167,-0.097735939,2.338260234,-1.260259897
2017-5-5,-0.00712489,-0.496148732,0.003796187,2.372514604,-1.171922935
2017-5-4,-0.00712489,-0.558455868,-0.648040188,2.372514604,-1.171922935
2017-5-3,0.395940289,-0.719703781,-0.176681556,2.441023345,-0.995249011
2017-5-2,0.395940289,-0.73282554,-0.359510616,2.441023345,-0.995249011
2017-4-28,0.496706584,-0.768777075,-0.129376278,2.458150531,-0.951080529
2017-4-27,0.1944077,-0.10785037,-0.693008332,2.406768975,-1.083585973
2017-4-26,0.698239174,-0.624463355,-0.900731091,2.492404901,-0.862743567
2017-4-25,0.899771763,-0.63996128,-0.678233805,2.526659271,-0.774406605
2017-4-24,0.698239174,0.366404715,-0.177152765,2.492404901,-0.862743567
2017-4-21,1.000538058,-0.333416515,0.240951379,2.543786457,-0.730238124
