quote_time,id_tb_StockXPeriodRecords,stock_code,open_price,high_price,low_price,close_price,period,trading_volumn,Capital,PE_TTM,PB,SA,Turn_Over,nor_open_price,nor_high_price,nor_low_price,nor_close_price,nor_trading_volumn,nor_Capital,nor_PE_TTM,nor_PB,nor_SA,nor_Turn_Over
2017-06-09,2856,sh600221,3.24,3.26,3.26,3.23,day,563336.0,1319.69,-62.962962963,1.0487012987,0.0,4.76915795971e-05,-0.497018652792,-0.337780602228,-0.578300712667,-0.334336957438,-0.473625578344,0.1489016312,-1.18111085123,-1.27516193775,1.08765879106,-0.473625578344
2017-06-06,2853,sh600221,3.2,3.2,3.21,3.18,day,255189.0,-1150.34,-61.9883040936,1.03246753247,-0.00311526479751,2.16040986299e-05,-0.902635540844,-0.932436273215,-1.06186274203,-0.844695552905,-0.964691896431,-0.238856896804,-1.17663966742,-1.4959272204,0.656503252583,-0.964691896431
2017-06-02,2851,sh600221,3.25,3.24,3.25,3.21,day,495830.0,-2489.29,-62.5730994152,1.04220779221,-0.00310559006211,4.19765751019e-05,-0.395614430779,-0.535999159223,-0.67501311854,-0.538480395625,-0.581203853871,-0.449052433324,-1.17932237771,-1.36346805081,0.657842244939,-0.581203853871
2017-05-31,2843,sh600221,3.24,3.23,3.26,3.22,day,396553.0,1189.96,-62.7680311891,1.04545454545,-0.00940438871473,3.35718629094e-05,-0.497018652792,-0.635108437721,-0.578300712667,-0.436408676532,-0.739412731,0.128535921537,-1.18021661447,-1.31931499428,-0.21391733293,-0.739412731
2017-05-26,2842,sh600221,3.2,3.23,3.28,3.19,day,746864.0,3091.72,-62.1832358674,1.03571428571,-0.0159744408946,6.32289147226e-05,-0.902635540844,-0.635108437721,-0.384875900922,-0.742623833812,-0.181153416597,0.427084383789,-1.17753390419,-1.45177416387,-1.12321865065,-0.181153416597
2017-05-25,2841,sh600221,3.15,3.2,3.2,3.13,day,576212.0,2049.53,-61.0136452242,1.01623376623,0.0,4.87816515593e-05,-1.40965665091,-0.932436273215,-1.1585751479,-1.35505414837,-0.453106248571,0.263475820209,-1.17216848361,-1.71669250304,1.08765879106,-0.453106248571
2017-05-24,2840,sh600221,3.15,3.15,3.16,3.13,day,301218.0,-1356.43,-61.0136452242,1.01623376623,-0.0031746031746,2.55008773149e-05,-1.40965665091,-1.4279826657,-1.54542477139,-1.35505414837,-0.891339595239,-0.271210007915,-1.17216848361,-1.71669250304,0.648290766136,-0.891339595239
2017-05-23,2839,sh600221,3.17,3.15,3.18,3.15,day,265001.0,-1072.44,-61.4035087719,1.02272727273,-0.00949367088608,2.24347747788e-05,-1.20684820688,-1.4279826657,-1.35199995965,-1.15091071019,-0.949055389462,-0.226627737915,-1.17395695714,-1.62838638998,-0.226274068285,-0.949055389462
2017-05-22,2838,sh600221,3.18,3.17,3.19,3.16,day,290025.0,-186.49,-61.5984405458,1.02597402597,-0.00632911392405,2.45532867998e-05,-1.10544398487,-1.22976410871,-1.25528755378,-1.04883899109,-0.909176878414,-0.0875465656679,-1.1748511939,-1.58423333345,0.211703551497,-0.909176878414
2017-05-19,2837,sh600221,3.19,3.17,3.2,3.16,day,501681.0,-2008.04,-61.5984405458,1.02597402597,-0.00943396226415,4.24719161279e-05,-1.00403976286,-1.22976410871,-1.1585751479,-1.04883899109,-0.571879638392,-0.373503232868,-1.1748511939,-1.58423333345,-0.21801033961,-0.571879638392
2017-05-18,2836,sh600221,3.22,3.19,3.23,3.18,day,309448.0,-3517.56,-61.9883040936,1.03246753247,-0.0124223602484,2.61976225967e-05,-0.699827096818,-1.03154555171,-0.868437930285,-0.844695552905,-0.878224180201,-0.61047576081,-1.17663966742,-1.4959272204,-0.631607393424,-0.878224180201
2017-05-17,2835,sh600221,3.22,3.23,3.25,3.22,day,370711.0,-543.83,-62.7680311891,1.04545454545,-0.00630914826498,3.13840996563e-05,-0.699827096818,-0.635108437721,-0.67501311854,-0.436408676532,-0.780594815499,-0.143643711207,-1.18021661447,-1.31931499428,0.214466817237,-0.780594815499
2017-05-16,2834,sh600221,3.19,3.23,3.23,3.17,day,420243.0,2480.6,-61.7933723197,1.02922077922,0.0,3.55774395469e-05,-1.00403976286,-0.635108437721,-0.868437930285,-0.946767271998,-0.70166009646,0.331147495722,-1.17574543066,-1.54008027693,1.08765879106,-0.70166009646
2017-05-15,2833,sh600221,3.2,3.19,3.22,3.18,day,398414.0,-3286.45,-61.9883040936,1.03246753247,-0.00946372239748,3.37294136955e-05,-0.902635540844,-1.03154555171,-0.965150336158,-0.844695552905,-0.736447021718,-0.574194876203,-1.17663966742,-1.4959272204,-0.222129169675,-0.736447021718
2017-05-12,2832,sh600221,3.18,3.2,3.21,3.17,day,394983.0,1049.95,-61.7933723197,1.02922077922,-0.00319488817891,3.34389479529e-05,-1.10544398487,-0.932436273215,-1.06186274203,-0.946767271998,-0.741914699604,0.10655640246,-1.17574543066,-1.54008027693,0.645483302718,-0.741914699604
2017-05-11,2831,sh600221,3.21,3.19,3.21,3.13,day,585025.0,-831.15,-61.0136452242,1.01623376623,-0.00623052959502,4.95277531594e-05,-0.801231318831,-1.03154555171,-1.06186274203,-1.35505414837,-0.439061758566,-0.188748742428,-1.17216848361,-1.71669250304,0.225347714107,-0.439061758566
2017-05-10,2830,sh600221,3.26,3.21,3.26,3.21,day,483188.0,-5478.94,-62.5730994152,1.04220779221,-0.015479876161,4.09063133944e-05,-0.294210208766,-0.833326994717,-0.578300712667,-0.538480395625,-0.60135027877,-0.918383689725,-1.17932237771,-1.36346805081,-1.05477043264,-0.60135027877
2017-05-09,2829,sh600221,3.24,3.26,3.27,3.23,day,356237.0,2415.69,-62.962962963,1.0487012987,-0.00308641975309,3.01587422798e-05,-0.497018652792,-0.337780602228,-0.481588306795,-0.334336957438,-0.803660734972,0.32095757655,-1.18111085123,-1.27516193775,0.660495433495,-0.803660734972
2017-05-08,2828,sh600221,3.25,3.25,3.26,3.24,day,391193.0,-255.87,-63.1578947368,1.05194805195,-0.00306748466258,3.31180895546e-05,-0.395614430779,-0.436889880725,-0.578300712667,-0.232265238345,-0.747954483686,-0.0984382093616,-1.18200508799,-1.23100888122,0.663116067591,-0.747954483686
2017-05-05,2827,sh600221,3.29,3.26,3.3,3.26,day,550115.0,388.39,-63.5477582846,1.05844155844,-0.0122699386503,4.65723002081e-05,0.0100024572734,-0.337780602228,-0.191451089177,-0.0281218001584,-0.494694703766,0.00270117325792,-1.18379356152,-1.14270276816,-0.610512102817,-0.494694703766
2017-05-04,2826,sh600221,3.3,3.27,3.31,3.26,day,511202.0,-3747.76,-63.5477582846,1.05844155844,-0.0121212121212,4.32779564473e-05,0.111406679286,-0.23867132373,-0.0947386833038,-0.0281218001584,-0.5567068721,-0.646613788748,-1.18379356152,-1.14270276816,-0.589928213194,-0.5567068721
2017-05-03,2825,sh600221,3.31,3.31,3.33,3.3,day,410497.0,-756.81,-64.3274853801,1.07142857143,-0.00606060606061,3.47523509058e-05,0.2128109013,0.157765790262,0.0986861284415,0.380165076215,-0.717191425132,-0.17707845139,-1.18737050856,-0.966090542038,0.248865288933,-0.717191425132
2017-05-02,2824,sh600221,3.32,3.32,3.33,3.3,day,402302.0,-1916.93,-64.3274853801,1.07142857143,-0.00302114803625,3.40585686962e-05,0.314215123313,0.25687506876,0.0986861284415,0.380165076215,-0.7302510638,-0.359200297485,-1.18737050856,-0.966090542038,0.669529099667,-0.7302510638
2017-04-28,2823,sh600221,3.32,3.34,3.34,3.31,day,379849.0,-456.64,-64.522417154,1.07467532468,0.0,3.2157715499e-05,0.314215123313,0.455093625756,0.195398534314,0.482236795308,-0.766032402057,-0.129956158402,-1.18826474533,-0.921937485508,1.08765879106,-0.766032402057
2017-04-27,2822,sh600221,3.34,3.33,3.34,3.28,day,792621.0,-4033.1,-63.9376218324,1.06493506494,-0.003003003003,6.7102666103e-05,0.517023567339,0.355984347258,0.195398534314,0.176021638028,-0.108234577482,-0.691407988973,-1.18558203504,-1.0543966551,0.672040389105,-0.108234577482
2017-04-26,2821,sh600221,3.37,3.34,3.37,3.33,day,469978.0,-5351.18,-64.9122807018,1.08116883117,-0.0089552238806,3.97879652567e-05,0.821236233378,0.455093625756,0.485535751932,0.686380233495,-0.622401874475,-0.898327241205,-1.19005321885,-0.833631372449,-0.151752503128,-0.622401874475
2017-04-25,2820,sh600221,3.37,3.37,3.38,3.35,day,460299.0,-3939.35,-65.3021442495,1.08766233766,-0.003003003003,3.89685487825e-05,0.821236233378,0.752421461249,0.582248157805,0.890523671682,-0.637826431238,-0.67669061226,-1.19184169237,-0.745325259389,0.672040389105,-0.637826431238
2017-04-24,2819,sh600221,3.39,3.39,3.4,3.33,day,1088810.0,-759.8,-64.9122807018,1.08116883117,-0.00297619047619,9.21777922609e-05,1.0240446774,0.950640018245,0.77567296955,0.686380233495,0.36377534534,-0.177547837592,-1.19005321885,-0.833631372449,0.675751267694,0.36377534534
2017-04-21,2818,sh600221,3.38,3.4,3.41,3.36,day,651747.0,1893.23,-65.4970760234,1.09090909091,-0.00298507462687,5.51763848354e-05,0.922640455391,1.04974929674,0.872385375423,0.992595390775,-0.332732873731,0.238939009754,-1.19273592914,-0.701172202859,0.674521692997,-0.332732873731
2017-04-20,2817,sh600221,3.39,3.39,3.4,3.35,day,670982.0,-3845.62,-65.3021442495,1.08766233766,-0.00298507462687,5.68048047013e-05,1.0240446774,0.950640018245,0.77567296955,0.890523671682,-0.302079774306,-0.661976375255,-1.19184169237,-0.745325259389,0.674521692997,-0.302079774306
2017-04-19,2816,sh600221,3.4,3.4,3.41,3.35,day,960598.0,-2706.37,-65.3021442495,1.08766233766,-0.00294117647059,8.1323465885e-05,1.12544889942,1.04974929674,0.872385375423,0.890523671682,0.159455346201,-0.483130813449,-1.19184169237,-0.745325259389,0.680597238557,0.159455346201
2017-04-18,2815,sh600221,3.43,3.41,3.46,3.4,day,588378.0,-2360.19,-66.2768031189,1.1038961039,-0.0146627565982,4.98116154838e-05,1.42966156546,1.14885857524,1.35594740479,1.40088226715,-0.433718382306,-0.428785624433,-1.19631287618,-0.52455997674,-0.94168032699,-0.433718382306
2017-04-17,2814,sh600221,3.45,3.44,3.46,3.41,day,817256.0,-7859.74,-66.4717348928,1.10714285714,-0.00581395348837,6.91882456921e-05,1.63247000948,1.44618641073,1.35594740479,1.50295398624,-0.0689759809486,-1.29213441481,-1.19720711294,-0.48040692021,0.283002233787,-0.0689759809486
2017-04-14,2813,sh600221,3.53,3.46,3.53,3.44,day,1780508.0,-4157.72,-67.0565302144,1.11688311688,-0.0204678362573,0.000150736397115,2.44370378559,1.64440496773,2.0329342459,1.80916914352,1.46607259337,-0.710971503488,-1.19988982323,-0.347947750621,-1.74510873805,1.46607259337
2017-04-13,2812,sh600221,3.43,3.51,3.59,3.42,day,2455450.0,23996.96,-66.6666666667,1.11038961039,-0.0234604105572,0.00020787645228,1.42966156546,2.13995136022,2.61320868113,1.60502570534,2.54166730259,3.7089008354,-1.19810134971,-0.436253863681,-2.15928379782,2.54166730259
2017-04-12,2811,sh600221,3.44,3.43,3.45,3.41,day,928392.0,-3526.09,-66.4717348928,1.10714285714,-0.00588235294118,7.85969314322e-05,1.53106578747,1.34707713224,1.25923499891,1.50295398624,0.108131523998,-0.61181484586,-1.19720711294,-0.48040692021,0.273535686054,0.108131523998
2017-04-11,2810,sh600221,3.43,3.44,3.45,3.4,day,1092936.0,-9093.94,-66.2768031189,1.1038961039,-0.00294117647059,9.25270961531e-05,1.42966156546,1.44618641073,1.25923499891,1.40088226715,0.370350582575,-1.48588573575,-1.19631287618,-0.52455997674,0.680597238557,0.370350582575
