quote_time,id_tb_StockXPeriodRecords,stock_code,open_price,high_price,low_price,close_price,period,trading_volumn,Capital,PE_TTM,PB,nor_open_price,nor_high_price,nor_low_price,nor_close_price,nor_trading_volumn,nor_Capital,nor_PE_TTM,nor_PB
2017-05-31,2723,sz300146,11.69,11.9,11.94,11.63,day,193595.0,3316.71,32.6044294926,3.99656357388,-0.747138764136,-0.578598991519,-0.630591291807,-0.711291816305,1.17350599604,1.92546702653,0.121273292423,-1.03644677809
2017-05-26,2722,sz300146,11.36,11.59,11.62,11.35,day,113773.0,972.03,31.8194561256,3.90034364261,-1.0039946497,-0.820677681902,-0.871480550257,-0.937663733128,0.0394302655678,0.834530403366,0.0558447971658,-1.11207310287
2017-05-25,2721,sz300146,11.5,11.41,11.53,11.19,day,131952.0,-2491.52,31.3708999159,3.84536082474,-0.895025486126,-0.961239502124,-0.939230654196,-1.06701911417,0.297709470602,-0.776995920545,0.0184570855901,-1.15528814561
2017-05-24,2720,sz300146,11.44,11.43,11.67,11.38,day,177906.0,-2750.94,31.9035604149,3.91065292096,-0.941726556228,-0.945621522099,-0.833841603624,-0.913409599183,0.950603611542,-0.897699291061,0.0628549930863,-1.10397028236
2017-05-23,2719,sz300146,11.4,11.5,11.68,11.23,day,258943.0,-263.31,31.4830389683,3.85910652921,-0.972860602963,-0.890958592013,-0.826313814298,-1.03468026891,2.10194152553,0.259749346652,0.027804013484,-1.14448438492
2017-05-22,2718,sz300146,11.2,11.43,11.43,11.11,day,127490.0,1527.83,31.146621811,3.81786941581,-1.12853083664,-0.945621522099,-1.01450854746,-1.13169680469,0.234315344805,1.09313395488,-0.0002367701978,-1.17689566698
2017-05-19,2717,sz300146,11.31,11.17,11.36,11.13,day,67704.0,-1219.1,31.2026913373,3.82474226804,-1.04291220812,-1.14865526242,-1.06720307275,-1.11552738206,-0.615097744594,-0.184962219553,0.00443669374917,-1.17149378663
2017-05-18,2716,sz300146,11.07,11.31,11.52,11.07,day,149458.0,2767.8,31.0344827586,3.80412371134,-1.22971648853,-1.03932940225,-0.946758443523,-1.16403564995,0.546426988801,1.67006926572,-0.00958369809174,-1.18769942766
2017-05-17,2715,sz300146,11.3,11.2,11.34,11.17,day,88480.0,-1578.47,31.3148303897,3.83848797251,-1.0506957198,-1.12522829238,-1.0822586514,-1.0831885368,-0.319921510269,-0.352170492863,0.0137836216431,-1.16069002595
2017-05-16,2714,sz300146,11.18,11.31,11.37,11.06,day,108179.0,867.42,31.0064479955,3.80068728522,-1.14409786,-1.03932940225,-1.05967528342,-1.17212036127,-0.0400468163928,0.785857287995,-0.0119204300652,-1.19040036783
2017-05-15,2713,sz300146,11.11,11.24,11.27,11.08,day,123805.0,1220.06,31.0625175217,3.80756013746,-1.19858244179,-1.09399233233,-1.13495317669,-1.15595093864,0.181960491923,0.949934215674,-0.00724696611825,-1.18499848749
2017-05-12,2712,sz300146,10.87,11.21,11.22,10.75,day,159777.0,2894.6,30.1373703392,3.6941580756,-1.3853867222,-1.11741930237,-1.17259212332,-1.42274641203,0.69303478443,1.72906698132,-0.0843591212432,-1.27412951313
2017-05-11,2711,sz300146,10.46,10.88,10.9,10.33,day,133952.0,1611.87,28.9599102888,3.54982817869,-1.70451070123,-1.37511597278,-1.41348138177,-1.76230428727,0.326124587499,1.13223622632,-0.18250186413,-1.3875690003
2017-05-10,2710,sz300146,10.68,10.53,10.75,10.49,day,51977.0,-282.21,29.4084664985,3.60481099656,-1.53327344419,-1.64843062321,-1.52639822167,-1.63294890623,-0.838540016313,0.250955523112,-0.145114152554,-1.34435395757
2017-05-09,2709,sz300146,10.55,10.69,10.72,10.41,day,56957.0,-723.42,29.1841883936,3.57731958763,-1.63445909608,-1.52348678301,-1.54898158965,-1.69762659675,-0.767786375239,0.0456685980289,-0.163808008342,-1.36596147893
2017-05-08,2708,sz300146,10.6,10.61,10.71,10.53,day,53880.0,-376.66,29.5206055509,3.61855670103,-1.59554153766,-1.58595870311,-1.55650937897,-1.60061006097,-0.811503032585,0.207009669496,-0.13576722466,-1.33355019688
2017-05-05,2707,sz300146,10.69,10.61,10.74,10.58,day,52919.0,-391.5,29.6607793664,3.63573883162,-1.52548993251,-1.58595870311,-1.53392601099,-1.56018650439,-0.825156496254,0.200104889531,-0.124083564792,-1.32004549603
2017-05-04,2706,sz300146,10.74,10.75,10.85,10.66,day,51239.0,-139.52,29.8850574713,3.66323024055,-1.48657237409,-1.47663284294,-1.4511203284,-1.49550881387,-0.849025194448,0.317346564431,-0.105389709005,-1.29843797466
2017-05-03,2705,sz300146,10.79,10.76,10.82,10.64,day,55345.0,-477.44,29.8289879451,3.65635738832,-1.44765481567,-1.46882385293,-1.47370369638,-1.5116782365,-0.790688959458,0.160118582916,-0.110063172952,-1.303839855
2017-05-02,2704,sz300146,10.84,10.76,11.03,10.75,day,102495.0,-1080.56,30.1373703392,3.6941580756,-1.40873725725,-1.46882385293,-1.31562012052,-1.42274641203,-0.120802578614,-0.12050209716,-0.0843591212432,-1.27412951313
2017-04-28,2703,sz300146,10.82,10.78,10.84,10.71,day,58393.0,-195.53,30.0252312868,3.68041237113,-1.42430428062,-1.4532058729,-1.45864811773,-1.45508525729,-0.747384321308,0.291286138162,-0.0937060491372,-1.28493327381
2017-04-27,2702,sz300146,10.61,10.77,10.88,10.56,day,127789.0,562.55,29.6047098402,3.62886597938,-1.58775802598,-1.46101486291,-1.42853696042,-1.57635592702,0.238563404781,0.644006865633,-0.128757028739,-1.32544737637
2017-04-26,2701,sz300146,10.38,10.57,10.57,10.34,day,55105.0,631.21,28.9879450519,3.55326460481,-1.7667787947,-1.61719466316,-1.66189842954,-1.75421957595,-0.794098773486,0.675953105011,-0.180165132156,-1.38486806013
2017-04-25,2700,sz300146,10.38,10.37,10.48,10.33,day,51576.0,-592.22,28.9599102888,3.54982817869,-1.7667787947,-1.77337446341,-1.72964853348,-1.76230428727,-0.844237247251,0.106713552973,-0.18250186413,-1.3875690003
2017-04-24,2699,sz300146,10.52,10.35,10.53,10.34,day,63260.0,-1244.47,28.9879450519,3.55326460481,-1.65780963113,-1.78899244343,-1.69200958685,-1.75421957595,-0.678236134339,-0.19676641549,-0.180165132156,-1.38486806013
2017-04-21,2698,sz300146,10.61,10.57,10.65,10.45,day,66132.0,-1329.53,29.296327446,3.5910652921,-1.58775802598,-1.61719466316,-1.60167611493,-1.66528775149,-0.637432026475,-0.236343274237,-0.154461080448,-1.35515771825
2017-04-20,2697,sz300146,10.67,10.58,10.72,10.51,day,62768.0,-554.63,29.4645360247,3.6116838488,-1.54105695587,-1.60938567315,-1.54898158965,-1.6167794836,-0.685226253096,0.124203490903,-0.140440688607,-1.33895207723
2017-04-19,2696,sz300146,10.87,10.66,10.88,10.51,day,113953.0,-2686.91,29.4645360247,3.6116838488,-1.3853867222,-1.54691375305,-1.42853696042,-1.6167794836,0.0419876260885,-0.867907305809,-0.140440688607,-1.33895207723
2017-04-18,2695,sz300146,11.12,10.87,11.14,10.85,day,81071.0,-1026.13,30.4177179703,3.72852233677,-1.19079893011,-1.38292496279,-1.23281443793,-1.34189929888,-0.425185310813,-0.0951768159282,-0.0609918015084,-1.24712011142
2017-04-17,2694,sz300146,11.02,11.12,11.17,11.0,day,65352.0,-156.37,30.8382394169,3.78006872852,-1.26863404694,-1.18770021248,-1.21023106995,-1.22062862916,-0.648513922065,0.309506568312,-0.0259408219061,-1.20660600885
2017-04-14,2693,sz300146,11.18,11.06,11.25,11.05,day,90358.0,-1883.84,30.9784132324,3.79725085911,-1.14409786,-1.23455415256,-1.15000875534,-1.18020507258,-0.293239715503,-0.49425355606,-0.0142571620387,-1.193101308
2017-04-13,2692,sz300146,11.23,11.28,11.34,11.1,day,140268.0,-2220.23,31.1185870479,3.81443298969,-1.10518030159,-1.06275637228,-1.0822586514,-1.13978151601,0.41585952666,-0.650769656621,-0.00257350217128,-1.17959660715
2017-04-12,2691,sz300146,12.0,11.36,12.0,11.28,day,345872.0,-3703.8,31.6232127839,3.87628865979,-0.505849901941,-1.00028445219,-0.585424555848,-0.994256712334,3.3369903739,-1.34104758198,0.0394876733514,-1.13097968407
2017-04-11,2690,sz300146,10.83,11.02,11.06,10.63,day,114469.0,-550.06,29.8009531819,3.6529209622,-1.41652076893,-1.26579011261,-1.29303675254,-1.51976294781,0.0493187262479,0.126329828129,-0.112399904925,-1.30654079518
2017-04-10,2689,sz300146,10.92,10.84,10.93,10.83,day,63173.0,-158.4,30.3616484441,3.72164948454,-1.34646916378,-1.40635193283,-1.39089801379,-1.35806872151,-0.679472191924,0.308562046524,-0.0656652654554,-1.25252199176
2017-04-07,2688,sz300146,11.03,10.92,11.03,10.9,day,64751.0,-1669.07,30.5578917858,3.74570446735,-1.26085053526,-1.34388001273,-1.31562012052,-1.30147574231,-0.657052664692,-0.394325012055,-0.049308141641,-1.23361541056
2017-04-06,2687,sz300146,10.98,10.97,10.98,10.88,day,71822.0,-784.79,30.5018222596,3.73883161512,-1.29976809368,-1.30483506267,-1.35325906716,-1.31764516494,-0.556591018903,0.0171142620157,-0.0539816055879,-1.2390172909
2017-04-05,2686,sz300146,10.79,10.96,11.01,10.74,day,90131.0,383.7,30.1093355761,3.69072164948,-1.44765481567,-1.31264405268,-1.33067569918,-1.43083112335,-0.296464831271,0.560791239171,-0.0866958532167,-1.2768304533
2017-03-31,2685,sz300146,10.66,10.77,10.77,10.66,day,55341.0,-268.43,29.8850574713,3.66323024055,-1.54884046756,-1.46101486291,-1.51134264301,-1.49550881387,-0.790745789692,0.257367104508,-0.105389709005,-1.29843797466
